#Command: python3 Fitness_Esimation.py temp/STLM_pred.csv demodata/H37Rv/H37RvBD1.prot_table temp/H37RV_gumbel.txt
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 316ES 54ESB 731GD 1035GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Mean Count Expected by M0,Mean Count Expected by M1,Mean Actual Count,TTN-Fitness Assesment
Rv0011c,-,putative septation inhibitor protein ,3,3,True,-0.7293013048491532,0.15300743050503895,-1.0658837131683954,0.0007024228548039405,-0.33658240831924213,5.579497592373394,5.579497592373394,10.4,GD
Rv0012,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,17,17,True,0.2506311369352056,0.24996554679709565,0.18287025221444847,0.18940244858845467,-0.06776088472075714,57.54972044235067,57.54972044235067,153.82352941176472,NE
Rv0013,trpG,para-aminobenzoate synthase component II ,14,1,False,,,,,,,,0.4642857142857143,ES
Rv0014c,pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,25,4,False,,,,,,,,7.9,ES
Rv0015c,pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,16,4,False,,,,,,,,4.5125,ES
Rv0016c,pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,36,34,True,-0.3989509639253218,0.0035792533479849795,-0.31298986918823873,0.0005580593292840255,0.08596109473708308,,,30.855555555555554,GD
Rv0017c,rodA,PROBABLE CELL DIVISION PROTEIN RODA ,27,27,True,0.15020822590844093,0.39518347538871973,0.0602992073011397,0.6139865634875264,-0.08990901860730124,45.565651909039566,45.565651909039566,89.0777777777778,NE
Rv0018c,ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,25,15,False,,,,,,,,46.708,ES
Rv0019c,-,hypothetical protein Rv0019c ,13,13,True,0.07844444989057313,0.7741612646343422,-0.15837521451632014,0.33098102603948815,-0.23681966440689328,,,57.02307692307693,NE
Rv0020c,TB39.8,hypothetical protein Rv0020c ,52,11,True,-1.462870673796993,1.0919558148960288e-48,-1.2662219998328448,1.2024011347983437e-74,0.1966486739641482,,,20.417307692307695,GD
Rv0021c,-,hypothetical protein Rv0021c ,23,23,True,0.47229994652600477,0.006164147126897962,0.5414653093043066,9.154190499904814e-07,0.06916536277830182,96.2094564082567,96.2094564082567,173.41739130434783,GA
Rv0022c,whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,8,8,True,0.2824927787055124,0.381802347431603,0.3146879242178122,0.11824919033439188,0.032195145512299794,61.96860020026349,61.96860020026349,163.0125,NE
Rv0023,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,12,9,True,-1.4637005901686166,1.1415313637192126e-11,-1.39509375672579,1.5987635759839824e-21,0.0686068334428267,0.6206458972413064,0.6206458972413064,1.2333333333333336,GD
Rv0024,-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,13,13,True,0.07776132253389198,0.7763406270047976,0.24274381481946306,0.12431513141800435,0.16498249228557108,38.4879426167364,38.4879426167364,92.36923076923077,NE
Rv0025,-,hypothetical protein Rv0025 ,8,8,True,0.3176487530965215,0.3206804476428163,0.4074542258824245,0.04022128302342274,0.089805472785903,67.23571956849136,67.23571956849136,85.275,GA
Rv0026,-,hypothetical protein Rv0026 ,15,13,True,0.13128950934364844,0.5935015837797576,0.02798769219405669,0.8690523988296153,-0.10330181714959175,43.60202234913733,43.60202234913733,119.72,NE
Rv0027,-,hypothetical protein Rv0027 ,5,5,True,-0.030323698639919832,0.9482961169851125,-0.16662210725675713,0.5412800497488354,-0.1362984086168373,29.898020042935364,29.898020042935364,49.72,NE
Rv0028,-,hypothetical protein Rv0028 ,5,5,True,0.2765266042829479,0.5091397763931654,0.1502353780908544,0.58525508149626,-0.1262912261920935,61.11629775035733,61.11629775035733,170.89999999999998,NE
Rv0029,-,hypothetical protein Rv0029 ,19,19,True,0.26071039897084236,0.20302258333272263,0.2837984161348917,0.02708685161273702,0.023088017164049346,58.91271441391468,58.91271441391468,131.67894736842103,GA
Rv0030,-,hypothetical protein Rv0030 ,5,5,True,0.0673143370800943,0.8839516958000664,0.04431448812166601,0.8817631543728035,-0.022999848958428284,37.56127502430147,37.56127502430147,92.78,NE
Rv0031,-,POSSIBLE REMNANT OF A TRANSPOSASE ,1,1,True,-0.4678460168689524,0.6224119956015481,0.45806090211154693,0.44276518209571053,0.9259069189804994,10.599999999998431,10.599999999998431,10.6,NE
Rv0032,bioF2,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ,56,47,True,-0.08560915434153525,0.4920389597104682,-0.2290382811428556,0.0017704061751175695,-0.14342912680132036,26.264543556827277,26.264543556827277,119.325,GD
Rv0033,acpA,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ,4,4,True,0.7349189539294823,0.09269281535195609,0.4256638954300279,0.13533928640737342,-0.30925505849945434,176.54674618660925,176.54674618660925,201.22499999999997,NE
Rv0034,-,hypothetical protein Rv0034 ,5,5,True,0.3224203958105346,0.4363978897258033,0.40105933255513937,0.11614707783762276,0.07863893674460476,67.98404302886982,67.98404302886982,139.83999999999997,NE
Rv0035,fadD34,PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,25,24,True,0.36533448562616794,0.031053423229555423,0.38125890248335653,0.0004498517991548725,0.015924416857188595,75.09681201153094,75.09681201153094,172.93600000000004,GA
Rv0036c,-,hypothetical protein Rv0036c ,4,4,True,0.5894415538848462,0.18542940089402773,0.5432775651157863,0.05374732720968624,-0.046163988769059916,126.15156176827368,126.15156176827368,155.3,NE
Rv0037c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,21,20,True,0.31098183699008203,0.10458331896786219,0.3705819266607943,0.001927259580795746,0.059600089670712286,66.2038394759542,66.2038394759542,178.9190476190476,GA
Rv0038,-,hypothetical protein Rv0038 ,8,8,True,0.571343947682517,0.06001727328826872,0.2689323095426477,0.1849662970486643,-0.30241163813986927,120.98228254631512,120.98228254631512,190.93750000000003,NE
Rv0039c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,4,4,True,0.3081434722590132,0.5110286496556123,0.3634652947956677,0.20659557549732135,0.05532182253665452,65.76931292972941,65.76931292972941,126.625,NE
Rv0040c,mtc28,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ,10,10,True,0.4403904975269217,0.11272749112505076,0.41670045264501004,0.01799805860512234,-0.023690044881911676,89.3585679698266,89.3585679698266,156.32,GA
Rv0041,leuS,leucyl-tRNA synthetase ,73,3,True,-1.7672658309257225,2.5773286516658207e-99,-1.8401018423633024,1.3093394170683837e-219,-0.0728360114375799,,,3.0589041095890415,GD
Rv0042c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ,5,5,True,0.21026872943661315,0.6214173411739813,0.02775930619585619,0.9273496773198432,-0.18250942324075697,52.397813986340466,52.397813986340466,65.96000000000001,NE
Rv0043c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,11,11,True,0.17497565019156183,0.5365923910849286,0.1077987784528049,0.5591097916180557,-0.06717687173875693,48.2690893079216,48.2690893079216,85.27272727272727,NE
Rv0044c,-,POSSIBLE OXIDOREDUCTASE ,20,19,True,0.10418861791685095,0.6236461388770781,0.2283183758899855,0.07075037793827048,0.12412975797313454,40.934071731785174,40.934071731785174,105.67999999999999,NE
Rv0045c,-,POSSIBLE HYDROLASE ,7,7,True,0.5322259123741974,0.10872385378018551,0.46965386842240225,0.02626233985147403,-0.06257204395179511,110.5183856980274,110.5183856980274,202.21428571428572,GA
Rv0046c,ino1,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) ,17,2,False,,,,,,,,0.8705882352941177,ES
Rv0047c,-,hypothetical protein Rv0047c ,8,8,True,0.42220134890685984,0.17921188557736867,0.30256720625246836,0.13351877618178462,-0.11963414265439148,85.67282776324328,85.67282776324328,209.57500000000002,NE
Rv0048c,-,POSSIBLE MEMBRANE PROTEIN ,16,16,True,0.42014308066047257,0.049452137419468634,0.2706870675651935,0.054680701888670455,-0.14945601309527906,85.26539187566155,85.26539187566155,261.6375,NE
Rv0049,-,hypothetical protein Rv0049 ,9,9,True,0.32615558257895333,0.2773559878191175,0.18755325229298606,0.33903534715950995,-0.13860233028596727,68.57558604935012,68.57558604935012,127.2111111111111,NE
Rv0050,ponA1,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) ,37,35,True,-0.269883504526606,0.05574229772378104,-0.3520386151519395,7.136746101040983e-05,-0.08215511062533354,17.009973593390686,17.009973593390686,30.875675675675673,GD
Rv0051,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,34,33,True,-0.05309302026457953,0.7538033277997537,-0.16457569115885323,0.09123632047499237,-0.1114826708942737,28.34536079162613,28.34536079162613,79.34705882352942,NE
Rv0052,-,hypothetical protein Rv0052 ,7,7,True,0.4961314486954034,0.13691622402738743,0.48358725275532843,0.0219403582638021,-0.012544195940074943,101.66460126584457,101.66460126584457,222.08571428571426,GA
Rv0053,rpsF,30S ribosomal protein S6 ,8,4,True,-1.2963482677309883,2.12562870786702e-06,-1.529547687790578,2.1516212837879196e-17,-0.2331994200595897,,,10.037499999999998,GD
Rv0054,ssb,single-strand DNA-binding protein ,5,0,False,,,,,,,,0.0,ESB
Rv0055,rpsR,30S ribosomal protein S18 ,5,2,True,-1.27531305312812,0.00036824320577909193,-1.5188959709960277,5.3871718041614785e-11,-0.24358291786790764,,,24.740000000000002,GD
Rv0056,rplI,50S ribosomal protein L9 ,8,8,True,0.050827004933780034,0.8889653797910554,0.18227720602782324,0.38394184739263465,0.1314502010940432,36.14342001458317,36.14342001458317,63.4375,NE
Rv0057,-,hypothetical protein Rv0057 ,15,15,True,-0.15403005544548867,0.5250099849038181,-0.14515308826817447,0.33919559289349416,0.008876967177314204,22.363301329085424,22.363301329085424,47.059999999999995,NE
Rv0058,dnaB,replicative DNA helicase ,39,4,False,,,,,,,,0.046153846153846156,ES
Rv0059,-,hypothetical protein Rv0059 ,21,21,True,0.7283339761832772,2.027633534328263e-05,0.35085198831177294,0.0034919304737842877,-0.3774819878715043,173.8825290267631,173.8825290267631,262.4095238095238,GA
Rv0060,-,hypothetical protein Rv0060 ,24,8,False,,,,,,,,30.254166666666666,ES
Rv0061,-,hypothetical protein Rv0061 ,6,6,True,0.21940363191339146,0.568738788950976,0.29537952905705206,0.20983877472262716,0.0759758971436606,53.52224492365925,53.52224492365925,81.55,NE
Rv0062,celA1,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) ",23,23,True,0.34730807641759454,0.051841179958044145,0.1839028261006705,0.12232441634514551,-0.16340525031692404,72.02321895330829,72.02321895330829,115.9217391304348,NE
Rv0063,-,POSSIBLE OXIDOREDUCTASE ,24,23,True,0.2812984342378677,0.11671979947182198,-0.08070932291935634,0.5139569877734624,-0.36200775715722405,61.797042573476226,61.797042573476226,112.14583333333333,NE
Rv0064,-,hypothetical protein Rv0064 ,69,67,True,-0.13547412773394912,0.20844096695250228,-0.15983104696566172,0.017270288225601126,-0.024356919231712598,23.361342136522104,23.361342136522104,51.189855072463764,GD
Rv0065,-,hypothetical protein Rv0065 ,8,7,True,0.10468001231708825,0.7639171172192771,0.007998636281152934,0.974713816074073,-0.09668137603593531,40.98097998120819,40.98097998120819,107.16250000000001,NE
Rv0066c,icd2,PROBABLE ISOCITRATE DEHYDROGENASE ,38,33,True,-0.3870789852335194,0.0036953781390121165,-0.4351359817541502,3.7757445188855944e-07,-0.04805699652063078,12.868725635725253,12.868725635725253,38.90263157894737,GD
Rv0067c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) ,12,12,True,-0.141867595354057,0.6063937658142895,-0.2470797949524108,0.13351877618178462,-0.10521219959835382,23.012640316174814,23.012640316174814,33.391666666666666,NE
Rv0068,-,short chain dehydrogenase ,12,12,True,0.13564140335584546,0.6214173411739813,0.05462435336822892,0.765611425577115,-0.08101704998761654,44.046172963896844,44.046172963896844,142.06666666666666,NE
Rv0069c,sdaA,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) ,12,12,True,-0.001419114987808966,0.9957753248170021,-0.17593317235691003,0.2982705237075617,-0.17451405736910106,31.990012667205477,31.990012667205477,57.050000000000004,NE
Rv0070c,glyA2,PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) ,18,17,True,-0.08409061694344966,0.7141996704995702,-0.027836356469056717,0.8562642792015643,0.05625426047439294,26.358291233175564,26.358291233175564,101.43333333333334,NE
Rv0071,-,POSSIBLE MATURASE ,9,8,True,0.045206720831338996,0.8949420596505898,0.19991310176663807,0.3058855549054476,0.15470638093529906,35.67226605285283,35.67226605285283,90.17777777777779,NE
Rv0072,-,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER ,17,16,True,0.4499933076855372,0.02839151760493564,0.3639817019198896,0.006541673315240988,-0.08601160576564759,91.36758573568069,91.36758573568069,237.03529411764706,GA
Rv0073,-,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER ,16,16,True,0.5880310083765921,0.004279286214681704,0.4578709543451837,0.0007743626062289756,-0.13016005403140835,125.74087731876885,125.74087731876885,204.93124999999998,GA
Rv0074,-,hypothetical protein Rv0074 ,20,20,True,0.2561554202814065,0.19950702517659977,0.4100061336431154,0.0007572881572851282,0.1538507133617089,58.29283682660609,58.29283682660609,107.99000000000001,GA
Rv0075,-,PROBABLE AMINOTRANSFERASE ,25,24,True,0.28853388429462457,0.09998570746236457,0.2659084624459694,0.016967920799856505,-0.02262542184865518,62.84362012805371,62.84362012805371,135.072,GA
Rv0076c,-,PROBABLE MEMBRANE PROTEIN ,3,3,True,0.8785265550876726,0.07990733168686814,0.6002750214206362,0.06556760847195993,-0.2782515336670365,245.93111993491047,245.93111993491047,279.76666666666665,NE
Rv0077c,-,PROBABLE OXIDOREDUCTASE ,15,15,True,0.11833597439697578,0.6282152839741361,0.09892811435936698,0.5282973514035929,-0.019407860037608804,42.306031826712356,42.306031826712356,89.72666666666667,NE
Rv0078,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,10,10,True,-0.4142402597567167,0.13779859853643608,-0.2796496836437895,0.12094585741761273,0.13459057611292718,12.058238765659226,12.058238765659226,25.97,NE
Rv0078A,-,hypothetical protein Rv0078A ,10,10,True,0.43019634153984265,0.12127279314715812,0.3622781766314367,0.04159339682184093,-0.06791816490840596,87.27388821491863,87.27388821491863,191.64000000000001,GA
Rv0079,-,hypothetical protein Rv0079 ,14,14,True,0.31684124351052223,0.18236600842583767,0.24430334058306863,0.10824328454603896,-0.0725379029274536,67.10989152847421,67.10989152847421,99.53571428571426,NE
Rv0080,-,hypothetical protein Rv0080 ,5,5,True,0.059831416032460505,0.8956753485194466,0.2570321168931632,0.32720580515614,0.19720070086070268,36.91109429091087,36.91109429091087,75.48,NE
Rv0081,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,6,6,True,0.49152595603668037,0.17571875113804006,0.40158029637731396,0.0822324264562167,-0.0899456596593664,100.5869170649439,100.5869170649439,127.46666666666665,NE
Rv0082,-,PROBABLE OXIDOREDUCTASE ,7,5,True,-0.5329543992563056,0.10834938047724148,-0.20009356072084353,0.3700549209914802,0.3328608385354621,9.054645897419164,9.054645897419164,38.34285714285715,NE
Rv0083,-,PROBABLE OXIDOREDUCTASE ,23,21,True,0.16478212480539062,0.38821760127549965,0.13703850357529312,0.2594900549251465,-0.027743621230097493,47.13773678497526,47.13773678497526,94.90434782608696,NE
Rv0084,hycD,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) ,9,8,True,-0.16482331076991663,0.6050907869598716,-0.14558911469787225,0.46707737906915425,0.01923419607204438,21.802096203839373,21.802096203839373,60.888888888888886,NE
Rv0085,hycP,POSSIBLE HYDROGENASE HYCP ,4,4,True,-0.7095809767853098,0.10600658301904109,-0.5797807267266321,0.03913686307298726,0.1298002500586778,5.8619172934705475,5.8619172934705475,11.525,GD
Rv0086,hycQ,POSSIBLE HYDROGENASE HYCQ ,15,14,True,-0.22141786930259374,0.34493350891405183,-0.12888261633553,0.4001900187728666,0.09253525296706375,19.077224737500902,19.077224737500902,45.873333333333335,NE
Rv0087,hycE,POSSIBLE FORMATE HYDROGENASE HYCE (FHL) ,26,22,True,-0.6638208610583838,1.486757695352253e-05,-0.5397093564975048,1.7618567521442337e-07,0.12411150456087894,6.568839721409952,6.568839721409952,22.45384615384615,GD
Rv0088,-,hypothetical protein Rv0088 ,14,13,True,-0.23539146215884554,0.33211301839158736,-0.1786889966053116,0.24954477325308122,0.05670246555353395,18.45734586097151,18.45734586097151,44.192857142857136,NE
Rv0089,-,POSSIBLE METHYLTRANSFERASE/METHYLASE ,11,11,True,0.19126634939379916,0.4963389706386475,0.11636931140693377,0.525101704051893,-0.0748970379868654,50.1331964487915,50.1331964487915,73.99999999999999,NE
Rv0090,-,POSSIBLE MEMBRANE PROTEIN ,12,12,True,0.43631596860554756,0.08232665502861149,0.25621598976371707,0.11932158149456834,-0.1800999788418305,88.51946179880667,88.51946179880667,137.59166666666667,NE
Rv0091,mtn,PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) ,11,10,True,0.06508032320284551,0.8289701292960547,0.10935298621975334,0.5526567218558063,0.044272663016907826,37.36599026091098,37.36599026091098,125.33636363636364,NE
Rv0092,ctpA,PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA ,29,25,True,-0.2534612777665637,0.12011040721295274,-0.11259101152222226,0.30072035969206906,0.14087026624434143,17.684766038782776,17.684766038782776,48.76896551724137,NE
Rv0093c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,9,8,True,-0.3029996174834415,0.3139646990615583,-0.1391486831813856,0.48954161603417057,0.1638509343020559,15.724427390700495,15.724427390700495,36.955555555555556,NE
Rv0094c,-,hypothetical protein Rv0094c ,14,14,True,0.4838892633880947,0.03260782450134351,0.49392985032826325,0.0006871445049732784,0.010040586940168572,98.82492803050884,98.82492803050884,133.1642857142857,GA
Rv0095c,-,hypothetical protein Rv0095c ,10,6,True,-0.8774893175598665,0.0005567154890309824,-0.5768103780362651,0.0008254146941702351,0.30067893952360136,3.8219494009897916,3.8219494009897916,15.570000000000002,GD
Rv0096,PPE1,PPE FAMILY PROTEIN ,34,34,True,0.20607796882674767,0.17686520356843669,0.22153702694298427,0.020633285353906895,0.015459058116236601,51.88982701752037,51.88982701752037,112.43823529411765,GA
Rv0097,-,POSSIBLE OXIDOREDUCTASE ,26,26,True,0.27823794013983216,0.1062626284467944,-0.009006281197457697,0.9459919792854465,-0.2872442213372899,61.35957555473631,61.35957555473631,107.86923076923075,NE
Rv0098,-,hypothetical protein Rv0098 ,12,11,True,-0.0636701022047719,0.8258785026969431,-0.17202074195964484,0.3097034496586448,-0.10835063975487294,27.651328423803438,27.651328423803438,61.63333333333333,NE
Rv0099,fadD10,acyl-CoA synthetase ,32,29,True,-0.48663978619655623,0.0006292604153730787,-0.4976405475296117,8.816693736003445e-08,-0.011000761333055442,10.129900746764898,10.129900746764898,33.128125,GD
Rv0100,-,hypothetical protein Rv0100 ,3,3,True,0.21557257996295603,0.6999990241398656,-0.1125365093132503,0.7605060766196989,-0.3281090892762063,53.04779296961822,53.04779296961822,115.39999999999999,NE
Rv0101,nrp,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) ,123,117,True,-0.10738282571352202,0.1813376175120173,-0.044167483561746115,0.41083400888761434,0.0632153421517759,24.955765990438543,24.955765990438543,68.67235772357724,NE
Rv0102,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,42,16,True,-1.6712072618675446,2.8007112695230563e-51,-1.5354934227226427,8.941275358548509e-89,0.13571383914490198,0.1949630808535369,0.1949630808535369,1.3714285714285714,GD
Rv0103c,ctpB,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB ,31,29,True,0.1656779031808383,0.30709134399632254,0.22042420133463309,0.02850913294436966,0.05474629815379478,47.23609606689517,47.23609606689517,126.59677419354836,GA
Rv0104,-,hypothetical protein Rv0104 ,28,27,True,0.45275146339510824,0.0035524386311470667,0.3628481965894822,0.0004099256853458764,-0.08990326680562605,91.95288311567067,91.95288311567067,159.91785714285714,GA
Rv0105c,rpmB,50S ribosomal protein L28 ,5,4,True,-0.16418073851269824,0.7049033942887463,-0.3801642577153896,0.13721878370814924,-0.21598351920269135,21.835118302488915,21.835118302488915,90.43999999999998,NE
Rv0106,-,hypothetical protein Rv0106 ,12,11,True,0.04634450035971795,0.8760961453899465,0.0566486662038656,0.7583591202822471,0.010304165844147652,35.767155635080435,35.767155635080435,76.96666666666667,NE
Rv0107c,ctpI,PROBABLE CATION-TRANSPORTER ATPASE I CTPI ,66,58,True,-0.18489277079928637,0.08499003674386779,0.016281477507109916,0.8385868904173722,0.2011742483063963,20.794930394366595,20.794930394366595,70.27575757575757,NE
Rv0108c,-,hypothetical protein Rv0108c ,2,2,True,0.6102087724412147,0.34217310074201757,0.7307176544150547,0.06691755130030456,0.12050888197383991,132.35495850738633,132.35495850738633,147.25,NE
Rv0109,PE_PGRS1,PE-PGRS FAMILY PROTEIN ,28,24,True,-0.43407750092656316,0.005440513288181186,0.06931647076575288,0.5479754167523809,0.503393971692316,11.497520335652094,11.497520335652094,53.61071428571427,NE
Rv0110,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,14,14,True,0.6091551747733887,0.0058310636783637775,0.3501686764698324,0.01891280215085022,-0.25898649830355625,132.03304324685317,132.03304324685317,239.54999999999998,GA
Rv0111,-,POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE ,43,42,True,0.2292614615758195,0.08449543904790739,0.23721498387941073,0.004753143270203708,0.007953522303591226,54.76249100588438,54.76249100588438,108.67441860465117,GA
Rv0112,gca,"POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) ",31,31,True,-0.327561028951555,0.031334016187736166,-0.4934719033658058,1.9269413148534873e-07,-0.16591087441425084,14.832323244119504,14.832323244119504,39.80645161290323,GD
Rv0113,gmhA,PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) ,13,12,True,-0.5457870474973605,0.019396215167871315,-0.6682425815266172,6.613056565703047e-06,-0.12245553402925669,8.776452992158395,8.776452992158395,21.730769230769234,GD
Rv0114,gmhB,"POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) ",10,10,True,0.5122317118735936,0.05943955848019448,0.29629835548485095,0.09936320211516836,-0.21593335638874267,105.52315106051753,105.52315106051753,172.97,NE
