#Command: python3 Fitness_Esimation.py out/H37Rv_TTN.csv demodata/H37Rv/H37Rv_hmm_np.csv out/H37Rv.pickle demodata/H37Rv/H37Rv.prot_table
#Gumbel Calls: Calls from the Gumbel Analysis.
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are classified as ES and those found to be essential through Bernoulli  are classified as ESB
#Gene+TTN Summary: 318ES 54ESB 717GD 1006GA 1886NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gumbel Call,HMM+NP States,Gene+TTN States
Rv0040c,mtc28,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ,10,10,True,0.4265107038326032,0.11549318617374238,0.40319260087645153,0.020293713017493137,-0.023318102956151665,0.8769502691626037,142.40564119833874,155.5,NE,NE,GA
Rv0041,leuS,leucyl-tRNA synthetase ,73,3,True,-1.7834223437576608,2.0396322636844088e-106,-1.8534482613276209,2.1701917632381447e-230,-0.07002591756996002,2.6715452793106345e-07,,3.089041095890411,U,ES,GD
Rv0042c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ,5,5,True,0.20567424832255587,0.6219070776430012,0.028510229345295623,0.9246206016926363,-0.17716401897726025,0.5181625077713767,39.11573005647902,66.78,NE,NE,NE
Rv0043c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,11,11,True,0.16970564204531535,0.5428844835944383,0.10466682972824216,0.5676039815869217,-0.06503881231707319,0.5963564507503566,72.7438510723224,85.78181818181818,NE,NE,NE
Rv0044c,-,POSSIBLE OXIDOREDUCTASE ,20,19,True,0.10771408525858862,0.6066696980396801,0.22894721686483563,0.06585150610254896,0.121233131606247,0.026867258055747936,75.57659679540699,105.52000000000001,NE,NE,NE
Rv0045c,-,POSSIBLE HYDROLASE ,7,7,True,0.5142352122962959,0.11249934396010347,0.45510947001423785,0.029043626351116035,-0.059125742282058025,0.775726411955573,115.1230715121006,201.3857142857143,NE,NE,GA
Rv0046c,ino1,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) ,17,2,False,,,,,,,,0.9941176470588234,E,ES,ES
Rv0047c,-,hypothetical protein Rv0047c ,8,8,True,0.40586451597805695,0.18597262563288938,0.2905923090700581,0.14511914019199512,-0.11527220690799883,0.4827890245516967,141.8230220524721,210.625,NE,NE,NE
Rv0048c,-,POSSIBLE MEMBRANE PROTEIN ,16,16,True,0.41173586841403903,0.04853282219983965,0.2675141200205621,0.05416541001115325,-0.14422174839347696,0.038325810739790564,311.2257038393763,259.61875000000003,NE,NE,NE
Rv0049,-,hypothetical protein Rv0049 ,9,9,True,0.3128353857346986,0.28716092662244574,0.17765884744465754,0.36067832838556585,-0.13517653829004106,0.32444202684187184,106.21398005616899,126.8777777777778,NE,NE,NE
Rv0050,ponA1,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) ,37,35,True,-0.2590764708045037,0.060820150153772914,-0.3383174643198986,0.00011002359659346194,-0.07924099351539493,0.0049133820245461785,25.51479365277178,31.802702702702703,NE,NE,GD
Rv0051,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,34,33,True,-0.03030918999242612,0.8588358831650931,-0.137847234733827,0.15492020532431192,-0.10753804474140088,0.0004443653431464749,81.20687883780798,79.7764705882353,NE,NE,NE
Rv0052,-,hypothetical protein Rv0052 ,7,7,True,0.49353419847943697,0.12911673506738225,0.4821386088073385,0.020204376660112967,-0.011395589672098472,0.9632763862278998,113.19467602170009,220.85714285714286,NE,NE,GA
Rv0053,rpsF,30S ribosomal protein S6 ,8,4,True,-1.2971464967689463,1.0497002101229013e-06,-1.521983534760043,8.472439846199845e-18,-0.22483703799109667,0.13484057930735655,,10.2,U,ES,GD
Rv0054,ssb,single-strand DNA-binding protein ,5,0,False,,,,,,,,0.0,E,ES,ESB
Rv0055,rpsR,30S ribosomal protein S18 ,5,2,True,-1.2673294370908084,0.00027256017451805233,-1.5025541917763152,4.1276676594659256e-11,-0.23522475468550685,0.36992006417209666,,24.6,NE,ES,GD
Rv0056,rplI,50S ribosomal protein L9 ,8,8,True,0.04311858703426543,0.9032389836359596,0.17192051458110122,0.40796109827715327,0.12880192754683578,0.4257905026796915,38.57172236270246,63.3875,NE,NE,NE
Rv0057,-,hypothetical protein Rv0057 ,15,15,True,-0.13067448020069933,0.5858901688877378,-0.12236060426006268,0.421424611934877,0.00831387594063665,0.93777846103719,37.13050941009863,47.846666666666664,NE,NE,NE
Rv0058,dnaB,replicative DNA helicase ,39,4,False,,,,,,,,0.08461538461538462,E,ES,ES
Rv0059,-,hypothetical protein Rv0059 ,21,21,True,0.7094017994148638,2.0889807821353158e-05,0.34433114770165035,0.0036820907305644304,-0.36507065171321346,1.03630871272465e-09,333.6886080127604,260.4428571428571,U,GA,GA
Rv0060,-,hypothetical protein Rv0060 ,24,8,False,,,,,,,,30.220833333333335,E,ES,ES
Rv0061,-,hypothetical protein Rv0061 ,6,6,True,0.21992509966246643,0.5611928101142716,0.29210588146965355,0.2079867757150031,0.07218078180718712,0.7669476911116281,96.89694514445591,81.78333333333332,NE,Uncertain,NE
Rv0062,celA1,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) ",23,23,True,0.3343623732132101,0.056002244897351845,0.17665157045224816,0.132819630941286,-0.15771080276096194,0.0007477178419968109,109.90334316658235,115.48260869565217,U,NE,NE
Rv0063,-,POSSIBLE OXIDOREDUCTASE ,24,23,True,0.27351599882357863,0.11837325839478217,-0.07650883794118801,0.5326755761511381,-0.35002483676476664,2.255411211329126e-11,155.43839378787766,112.87916666666666,NE,NE,NE
Rv0064,-,hypothetical protein Rv0064 ,69,67,True,-0.12684071718259726,0.2288936700076051,-0.15019660084463846,0.023554073555681558,-0.023355883662041194,0.14875767719132085,43.299725968571735,51.985507246376805,NE,NE,GD
Rv0065,-,hypothetical protein Rv0065 ,8,7,True,0.10455520342766522,0.7577320329704827,0.01263916166687414,0.9568737639910739,-0.09191604176079109,0.5902411821023802,108.50824648675348,108.69999999999999,NE,NE,NE
Rv0066c,icd2,PROBABLE ISOCITRATE DEHYDROGENASE ,38,33,True,-0.3799311443568984,0.0034917829279238464,-0.42570829362194773,4.477034028253512e-07,-0.04577714926504933,0.1170079518569237,44.132628173801464,39.715789473684204,NE,NE,GD
Rv0067c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) ,12,12,True,-0.15467060755469042,0.563290633724556,-0.25612028507334,0.11405071661223704,-0.10144967751864958,0.31753915560223595,29.98819891194941,33.833333333333336,NE,NE,NE
Rv0068,-,short chain dehydrogenase ,12,12,True,0.1294612232346533,0.6313651038943189,0.051360594071766436,0.7777176436656761,-0.07810062916288688,0.46644272032918527,103.71161430735106,141.65,NE,NE,NE
Rv0069c,sdaA,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) ,12,12,True,-0.00684719814098188,0.9815348544530689,-0.1748994376565149,0.29328519997758307,-0.168052239515533,0.07818845766126066,46.86412477432655,58.11666666666667,NE,NE,NE
Rv0070c,glyA2,PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) ,18,17,True,-0.07128350405280807,0.7521648721037613,-0.016649541904181008,0.916485922900221,0.05463396214862706,0.4356001024768645,85.03476981381317,101.66111111111111,NE,NE,NE
Rv0071,-,POSSIBLE MATURASE ,9,8,True,0.05900761783852766,0.8586516021916285,0.20813895010821548,0.2768955357968726,0.14913133226968783,0.2714976325131564,71.95273952604386,90.47777777777779,NE,NE,NE
Rv0072,-,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER ,17,16,True,0.44130448302989017,0.02761986490202166,0.35826274981634504,0.006554642739143425,-0.08304173321354513,0.229306467315077,254.6933219015851,235.47058823529414,NE,NE,GA
Rv0073,-,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER ,16,16,True,0.5715216606229797,0.004466413969644048,0.4464081388942532,0.0008821701060973472,-0.12511352172872653,0.07437942716856177,158.33715277695737,204.78125,NE,NE,GA
Rv0074,-,hypothetical protein Rv0074 ,20,20,True,0.24924257097909447,0.20111810177720943,0.3988748962763686,0.0008873652485415801,0.1496323252972741,0.0058090267598579996,75.15173502185607,108.125,NE,NE,GA
Rv0075,-,PROBABLE AMINOTRANSFERASE ,25,24,True,0.28316446192070316,0.09747152504144216,0.26165074004834427,0.01709989603547195,-0.021513721872358893,0.703093646780497,119.36182551605636,134.97199999999998,NE,NE,GA
Rv0076c,-,PROBABLE MEMBRANE PROTEIN ,3,3,True,0.8585373609437476,0.07934291606278418,0.58717965445175,0.06791796376831066,-0.27135770649199753,0.5815857662257294,112.90251723607851,278.59999999999997,S,NE,NE
Rv0077c,-,PROBABLE OXIDOREDUCTASE ,15,15,True,0.11491312881105216,0.634061980523809,0.09488368276444238,0.5410991790384984,-0.020029446046609778,0.8394405028980295,72.84638253738892,89.45333333333332,NE,NE,NE
Rv0078,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,10,10,True,-0.3832016928205603,0.1611165853987059,-0.2539225727128904,0.15503979158148173,0.1292791201076699,0.28899225330623124,19.41349385130745,26.580000000000002,NE,NE,NE
Rv0078A,-,hypothetical protein Rv0078A ,10,10,True,0.41754201669214647,0.12419842315308616,0.3520968058936814,0.04469799096900961,-0.06544521079846505,0.6362258577156829,108.61845612088317,195.1,NE,NE,GA
Rv0079,-,hypothetical protein Rv0079 ,14,14,True,0.3031311511048372,0.19251478729825497,0.23410388112696418,0.11900974036394017,-0.06902726997787301,0.44745367970351524,100.733318422297,99.57142857142857,NE,NE,NE
Rv0080,-,hypothetical protein Rv0080 ,5,5,True,0.07607908257337341,0.865263013937274,0.2669550997620005,0.3004239431442001,0.19087601718862707,0.4800388778529373,46.00477819198534,76.96,NE,NE,NE
Rv0081,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,6,6,True,0.4866515853407465,0.1696799317942095,0.40233304242536183,0.07668541239896834,-0.08431854291538465,0.7281530815758414,70.19150176978202,127.36666666666667,NE,NE,NE
Rv0082,-,PROBABLE OXIDOREDUCTASE ,7,5,True,-0.519246196324022,0.10904341833680961,-0.198240857278712,0.36832096733559355,0.32100533904531003,0.06596179303339768,36.281232360516846,39.042857142857144,NE,NE,NE
Rv0083,-,PROBABLE OXIDOREDUCTASE ,23,21,True,0.15287034239789427,0.4162832260853766,0.12625320682963467,0.29457786868839286,-0.026617135568259592,0.6595350568779839,68.95688161041178,94.77391304347825,NE,NE,NE
Rv0084,hycD,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) ,9,8,True,-0.16643941315282354,0.591465628442039,-0.14789765862255924,0.45259917833722974,0.0185417545302643,0.9162683169205541,44.03425263993109,61.844444444444434,NE,NE,NE
Rv0085,hycP,POSSIBLE HYDROGENASE HYCP ,4,4,True,-0.7022410380936542,0.10074416740777023,-0.579048756260012,0.03647788363507469,0.12319228183364228,0.7403098466758755,17.711436697410264,12.15,NE,NE,GD
Rv0086,hycQ,POSSIBLE HYDROGENASE HYCQ ,15,14,True,-0.21725005096269617,0.34388773464951966,-0.12696882858727265,0.40209483204640367,0.09028122237542352,0.25292230902157997,27.97563696857203,46.86666666666667,NE,NE,NE
Rv0087,hycE,POSSIBLE FORMATE HYDROGENASE HYCE (FHL) ,26,22,True,-0.6355360780266559,2.2359457762407072e-05,-0.5154525964133362,4.264906554651644e-07,0.12008348161331972,0.003267978033973392,16.423012818794035,23.96538461538462,NE,NE,GD
Rv0088,-,hypothetical protein Rv0088 ,14,13,True,-0.20585789005980967,0.38939219819589377,-0.151564924197502,0.327954975145566,0.05429296586230767,0.5678191758415826,24.799058627896716,46.05000000000001,NE,NE,NE
Rv0089,-,POSSIBLE METHYLTRANSFERASE/METHYLASE ,11,11,True,0.20298323198437115,0.46157213517863405,0.1311203892978914,0.4629504057671249,-0.07186284268647974,0.5541415434522395,54.29225307927795,75.69090909090909,NE,NE,NE
Rv0090,-,POSSIBLE MEMBRANE PROTEIN ,12,12,True,0.42485519540491085,0.08296354486981508,0.2514972768714751,0.12076622877136482,-0.17335791853343574,0.06916226341642788,107.0512510581749,138.46666666666667,NE,NE,NE
Rv0091,mtn,PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) ,11,10,True,0.06442798984483407,0.82964352761981,0.10702095048907617,0.5574880610509688,0.0425929606442421,0.7431050949224758,108.85377254673294,124.56363636363639,NE,NE,NE
Rv0092,ctpA,PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA ,29,25,True,-0.24817980048659927,0.11954300391952626,-0.11179125512784868,0.2970946314496298,0.13638854535875058,0.00017810385092953976,35.480438821646835,49.18620689655172,NE,NE,NE
Rv0093c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,9,8,True,-0.2893642852757986,0.32588734887768495,-0.1319406978674313,0.5078490482480736,0.15742358740836732,0.24273115988494562,25.424050501430692,37.78888888888889,NE,NE,NE
Rv0094c,-,hypothetical protein Rv0094c ,14,14,True,0.46159257749996674,0.03725797538092456,0.4709031271074618,0.0010439346324681179,0.009310549607495056,0.9353888257992113,75.1994196348016,132.02142857142857,NE,NE,GA
Rv0095c,-,hypothetical protein Rv0095c ,10,6,True,-0.8618001650918061,0.0004960951960442845,-0.571966729401425,0.0007598781883945946,0.2898334356903811,0.014070491672886988,19.396145739209715,16.41,NE,NE,GD
Rv0096,PPE1,PPE FAMILY PROTEIN ,34,34,True,0.2087950573187305,0.15961528335301722,0.22341000702225353,0.01763795911378247,0.014614949703523034,0.7244200054727081,78.30282504404627,112.46176470588236,U,NE,GA
Rv0097,-,POSSIBLE OXIDOREDUCTASE ,26,26,True,0.26976167009171936,0.10869457311498149,-0.008809118254251787,0.9461353670138093,-0.27857078834597115,7.616784980513103e-10,121.44919047917382,107.86153846153844,U,NE,NE
Rv0098,-,hypothetical protein Rv0098 ,12,11,True,-0.06467037752860903,0.8212729122378821,-0.16915215615251772,0.3112922834205259,-0.10448177862390869,0.2999050193352114,38.985140823792165,62.724999999999994,NE,NE,NE
Rv0099,fadD10,acyl-CoA synthetase ,32,29,True,-0.4689351532472993,0.0007455307122594944,-0.47873855038239904,1.7915840492724155e-07,-0.009803397135099756,0.8318744343450747,34.88515428754719,34.425000000000004,NE,NE,GD
Rv0100,-,hypothetical protein Rv0100 ,3,3,True,0.20549083641457694,0.707464340821925,-0.11236330544507027,0.7564001345097053,-0.3178541418596472,0.5152459935027849,76.60370829065995,115.06666666666668,S,NE,NE
Rv0101,nrp,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) ,123,117,True,-0.09696477835432381,0.21903296315551649,-0.035637520493089374,0.509443091698692,0.061327257861234434,0.0,55.466189544602784,69.34552845528455,NE,NE,NE
Rv0102,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,42,16,True,-1.6586213543674064,3.521133684634981e-53,-1.527831226491323,6.619757525826388e-91,0.13079012787608346,1.3772828388087482e-07,0.9726455386318223,1.4952380952380953,NE,ES,GD
Rv0103c,ctpB,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB ,31,29,True,0.15961466897564275,0.3135951247823478,0.2127298553077835,0.03219367986939868,0.05311518633214074,0.14342576587145883,94.35208075895967,126.19999999999999,NE,NE,GA
Rv0104,-,hypothetical protein Rv0104 ,28,27,True,0.4364141066485193,0.004044374338317952,0.3487504319629389,0.0005793813916510597,-0.0876636746855804,0.022373130005076534,146.03412835671017,159.21428571428572,NE,NE,GA
Rv0105c,rpmB,50S ribosomal protein L28 ,5,4,True,-0.16723686047546327,0.6918855087853257,-0.37667756667793884,0.13540531124523694,-0.20944070620247557,0.43381761738922753,135.93653371482043,91.36,S,NE,NE
Rv0106,-,hypothetical protein Rv0106 ,12,11,True,0.045901408658906497,0.8731426910636108,0.056250710270667054,0.7560184714268072,0.010349301611760557,0.93777846103719,48.86087216801159,76.89999999999999,NE,NE,NE
Rv0107c,ctpI,PROBABLE CATION-TRANSPORTER ATPASE I CTPI ,66,58,True,-0.1858258583482942,0.07450387432621791,0.008598759132882276,0.9176828947837438,0.19442461748117648,0.0,45.54372816379307,70.46666666666667,NE,NE,NE
Rv0108c,-,hypothetical protein Rv0108c ,2,2,True,0.5886226631091046,0.34857329617161764,0.7029054179334701,0.07403857112155635,0.11428275482436545,0.8938677398822004,84.43483925682523,146.55,S,NE,NE
Rv0109,PE_PGRS1,PE-PGRS FAMILY PROTEIN ,28,24,True,-0.42238575729470856,0.005615257726921891,0.06418882251029483,0.5775158480434482,0.4865745798050034,0.0,30.251721447947613,53.68571428571429,NE,NE,NE
