#HMM - Genes
#genes: ES=193, GD=309, NE=3348, GA=134, N/A=6
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	0	0	57	0	0.8421	168.17	NE
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	0	0	3	0	1.0000	244.00	NE
Rv0034	-	hypothetical protein Rv0034 	5	0	0	5	0	1.0000	158.20	NE
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	0	0	25	0	0.9600	194.83	NE
Rv0036c	-	hypothetical protein Rv0036c 	4	0	0	4	0	1.0000	178.00	NE
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	21	0	0	21	0	0.9524	210.85	NE
Rv0038	-	hypothetical protein Rv0038 	8	0	0	8	0	1.0000	201.88	NE
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	0	0	4	0	1.0000	151.75	NE
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	10	0	0	10	0	1.0000	173.90	NE
Rv0041	leuS	leucyl-tRNA synthetase 	73	42	30	1	0	0.0411	103.00	ES
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	0	0	5	0	1.0000	94.40	NE
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	11	0	0	11	0	1.0000	111.82	NE
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	0	0	20	0	0.9500	131.16	NE
Rv0045c	-	POSSIBLE HYDROLASE 	7	0	0	7	0	1.0000	229.43	NE
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	17	14	0	3	0	0.1176	28.50	ES
Rv0047c	-	hypothetical protein Rv0047c 	8	0	0	8	0	1.0000	272.50	NE
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	0	0	16	0	1.0000	279.56	NE
Rv0049	-	hypothetical protein Rv0049 	9	0	0	9	0	1.0000	147.78	NE
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	0	0	37	0	0.9459	57.14	NE
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	0	0	34	0	0.9706	106.79	NE
Rv0052	-	hypothetical protein Rv0052 	7	0	0	7	0	1.0000	246.71	NE
Rv0053	rpsF	30S ribosomal protein S6 	7	0	0	7	0	0.4286	37.67	NE
Rv0054	ssb	single-strand DNA-binding protein 	5	0	0	5	0	0.0000	0.00	NE
Rv0055	rpsR	30S ribosomal protein S18 	5	0	0	5	0	0.4000	69.00	NE
Rv0056	rplI	50S ribosomal protein L9 	8	0	0	8	0	1.0000	75.75	NE
Rv0057	-	hypothetical protein Rv0057 	16	0	1	15	0	1.0000	67.31	NE
Rv0058	dnaB	replicative DNA helicase 	39	0	39	0	0	0.1026	8.00	GD
Rv0059	-	hypothetical protein Rv0059 	21	0	0	0	21	1.0000	281.76	GA
Rv0060	-	hypothetical protein Rv0060 	23	0	22	1	0	0.3043	105.14	GD
Rv0061	-	hypothetical protein Rv0061 	6	0	0	6	0	1.0000	102.33	NE
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	22	0	0	22	0	1.0000	132.73	NE
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	24	0	0	24	0	0.9583	155.13	NE
Rv0064	-	hypothetical protein Rv0064 	69	0	0	69	0	0.9710	78.60	NE
Rv0065	-	hypothetical protein Rv0065 	8	0	0	8	0	0.8750	179.57	NE
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	0	0	38	0	0.8684	71.03	NE
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	0	0	12	0	1.0000	48.17	NE
Rv0068	-	short chain dehydrogenase 	12	0	0	12	0	1.0000	163.92	NE
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	0	0	12	0	1.0000	88.33	NE
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	0	0	18	0	0.9444	134.24	NE
Rv0071	-	POSSIBLE MATURASE 	8	0	0	8	0	0.8750	134.86	NE
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	17	0	0	17	0	0.9412	274.38	NE
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	16	0	0	16	0	1.0000	245.00	NE
Rv0074	-	hypothetical protein Rv0074 	20	0	0	20	0	1.0000	133.00	NE
Rv0075	-	PROBABLE AMINOTRANSFERASE 	25	0	0	25	0	0.9600	168.04	NE
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	0	0	3	0	1.0000	317.00	NE
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	15	0	0	15	0	1.0000	103.47	NE
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	0	0	9	0	1.0000	44.22	NE
Rv0078A	-	hypothetical protein Rv0078A 	10	0	0	10	0	1.0000	294.30	NE
Rv0079	-	hypothetical protein Rv0079 	14	0	0	14	0	1.0000	120.71	NE
Rv0080	-	hypothetical protein Rv0080 	5	0	0	5	0	1.0000	117.80	NE
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	6	0	0	6	0	1.0000	152.33	NE
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	0	0	7	0	0.7143	82.60	NE
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	0	0	23	0	0.9130	123.00	NE
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	0	0	9	0	0.8889	102.00	NE
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	0	0	4	0	1.0000	25.75	NE
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	0	0	15	0	0.9333	78.71	NE
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	26	0	0	26	0	0.8462	64.23	NE
Rv0088	-	hypothetical protein Rv0088 	14	0	0	14	0	0.9286	93.46	NE
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	11	0	0	11	0	1.0000	120.18	NE
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	0	0	12	0	1.0000	182.25	NE
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	0	0	11	0	0.9091	151.10	NE
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	0	0	30	0	0.8333	76.88	NE
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	9	0	0	9	0	0.8889	67.12	NE
Rv0094c	-	hypothetical protein Rv0094c 	14	0	0	14	0	1.0000	140.43	NE
Rv0095c	-	hypothetical protein Rv0095c 	10	0	0	10	0	0.6000	56.67	NE
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	0	0	34	0	1.0000	136.38	NE
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	0	0	26	0	1.0000	130.50	NE
Rv0098	-	hypothetical protein Rv0098 	12	0	0	12	0	0.9167	102.91	NE
Rv0099	fadD10	acyl-CoA synthetase 	32	0	0	32	0	0.9062	69.83	NE
Rv0100	-	hypothetical protein Rv0100 	4	0	0	4	0	1.0000	107.50	NE
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	123	0	0	123	0	0.9512	99.94	NE
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	0	41	1	0	0.3810	10.12	GD
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	31	0	0	31	0	0.9355	155.86	NE
Rv0104	-	hypothetical protein Rv0104 	28	0	0	28	0	0.9643	187.30	NE
Rv0105c	rpmB	50S ribosomal protein L28 	5	0	0	5	0	0.8000	157.50	NE
Rv0106	-	hypothetical protein Rv0106 	12	0	0	12	0	0.9167	100.18	NE
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	66	0	0	66	0	0.8788	100.64	NE
Rv0108c	-	hypothetical protein Rv0108c 	2	0	0	2	0	1.0000	165.00	NE
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	28	0	0	28	0	0.8571	77.17	NE
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	0	0	13	0	1.0000	240.69	NE
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	43	0	0	43	0	0.9767	144.14	NE
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	0	0	31	0	1.0000	63.97	NE
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	13	0	0	13	0	0.9231	65.92	NE
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	10	0	0	10	0	1.0000	197.30	NE
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	0	0	18	0	1.0000	171.56	NE
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	18	0	0	18	0	0.9444	188.12	NE
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	0	0	17	0	0.9412	69.75	NE
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	0	0	26	0	0.8462	71.95	NE
Rv0119	fadD7	acyl-CoA synthetase 	14	0	0	14	0	0.8571	29.92	NE
Rv0120c	fusA2	elongation factor G 	28	0	0	28	0	0.8571	61.08	NE
Rv0121c	-	hypothetical protein Rv0121c 	10	0	0	10	0	0.9000	71.78	NE
Rv0122	-	hypothetical protein Rv0122 	9	0	0	9	0	0.8889	71.88	NE
Rv0123	-	hypothetical protein Rv0123 	9	0	0	9	0	0.7778	65.71	NE
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	14	0	0	14	0	0.9286	70.54	NE
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	0	0	10	0	1.0000	79.90	NE
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	0	0	31	0	1.0000	279.06	NE
Rv0127	-	hypothetical protein Rv0127 	30	0	0	30	0	1.0000	145.57	NE
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	20	0	0	20	0	1.0000	236.40	NE
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	0	0	28	0	0.9286	162.69	NE
Rv0130	-	hypothetical protein Rv0130 	4	0	0	4	0	1.0000	95.50	NE
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	0	0	18	0	1.0000	123.67	NE
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	0	0	15	0	0.9333	163.93	NE
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	8	0	0	8	0	1.0000	152.38	NE
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	0	0	12	0	1.0000	193.00	NE
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0	0	12	0	0.9167	83.45	NE
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	0	0	23	0	1.0000	166.48	NE
Rv0137c	msrA	methionine sulfoxide reductase A 	11	0	0	11	0	1.0000	178.00	NE
Rv0138	-	hypothetical protein Rv0138 	7	0	0	7	0	1.0000	572.43	NE
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	0	0	12	0	1.0000	270.58	NE
Rv0140	-	hypothetical protein Rv0140 	16	0	0	16	0	0.9375	154.27	NE
Rv0141c	-	hypothetical protein Rv0141c 	9	0	0	9	0	0.8889	118.00	NE
Rv0142	-	hypothetical protein Rv0142 	7	0	0	7	0	1.0000	80.00	NE
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	28	0	0	28	0	1.0000	165.04	NE
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	0	0	14	0	1.0000	321.93	NE
Rv0145	-	hypothetical protein Rv0145 	15	0	0	15	0	1.0000	190.93	NE
Rv0146	-	hypothetical protein Rv0146 	17	0	0	16	1	0.9412	211.25	NE
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	0	0	0	26	0.9615	262.88	GA
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	17	0	0	0	17	1.0000	205.06	GA
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	22	0	0	0	22	0.9545	169.90	GA
Rv0150c	-	hypothetical protein Rv0150c 	5	0	0	0	5	1.0000	90.00	GA
Rv0151c	PE1	PE FAMILY PROTEIN 	44	0	0	0	44	1.0000	259.57	GA
Rv0152c	PE2	PE FAMILY PROTEIN 	40	0	0	0	40	0.9500	296.39	GA
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	0	0	0	11	1.0000	104.55	GA
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	0	0	0	12	0.9167	238.00	GA
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	11	0	0	0	11	1.0000	140.55	GA
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	0	0	0	1	1.0000	288.00	GA
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	15	0	0	0	15	1.0000	183.07	GA
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	0	0	0	16	1.0000	230.25	GA
Rv0159c	PE3	PE FAMILY PROTEIN 	50	0	0	0	50	1.0000	322.54	GA
Rv0160c	PE4	PE FAMILY PROTEIN 	42	0	0	14	28	0.9286	241.79	GA
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	0	0	19	0	1.0000	90.68	NE
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	17	0	0	17	0	1.0000	70.12	NE
Rv0163	-	hypothetical protein Rv0163 	11	0	0	11	0	1.0000	161.55	NE
Rv0164	TB18.5	hypothetical protein Rv0164 	9	7	0	2	0	0.2222	596.50	ES
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	0	0	8	0	1.0000	121.00	NE
Rv0166	fadD5	acyl-CoA synthetase 	28	0	0	28	0	0.9286	197.15	NE
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	0	0	7	0	1.0000	106.29	NE
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	15	0	0	15	0	1.0000	151.00	NE
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	0	0	39	0	0.9744	166.66	NE
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	0	0	18	0	1.0000	150.94	NE
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	0	0	25	0	1.0000	132.72	NE
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	0	0	33	0	0.9394	167.77	NE
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	0	0	16	0	0.9375	180.07	NE
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	0	0	31	0	1.0000	155.45	NE
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	0	0	9	0	1.0000	228.56	NE
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	0	0	15	0	1.0000	95.40	NE
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	12	0	0	12	0	1.0000	87.00	NE
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	12	0	0	12	0	1.0000	152.42	NE
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	23	0	0	23	0	1.0000	174.17	NE
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	29	0	0	29	0	0.9655	38.54	NE
Rv0181c	-	hypothetical protein Rv0181c 	16	0	0	16	0	1.0000	237.44	NE
Rv0182c	sigG	RNA polymerase factor sigma-70 	21	0	0	21	0	1.0000	195.24	NE
Rv0183	-	POSSIBLE LYSOPHOSPHOLIPASE 	16	0	0	16	0	1.0000	250.00	NE
Rv0184	-	hypothetical protein Rv0184 	11	0	0	11	0	1.0000	90.73	NE
Rv0185	-	hypothetical protein Rv0185 	10	0	0	10	0	0.7000	69.71	NE
Rv0186	bglS	PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE) 	34	0	0	34	0	1.0000	83.65	NE
Rv0187	-	PROBABLE O-METHYLTRANSFERASE 	8	0	0	8	0	1.0000	74.88	NE
Rv0188	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	11	0	0	11	0	1.0000	166.73	NE
Rv0189c	ilvD	dihydroxy-acid dehydratase 	23	0	23	0	0	0.0870	9.00	GD
Rv0190	-	hypothetical protein Rv0190 	3	0	0	0	3	1.0000	175.67	GA
Rv0191	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	0	0	0	20	1.0000	269.30	GA
Rv0192	-	hypothetical protein Rv0192 	14	0	0	0	14	1.0000	315.79	GA
Rv0192A	-	CONSERVED SECRETED PROTEIN 	3	0	0	0	3	1.0000	186.33	GA
Rv0193c	-	hypothetical protein Rv0193c 	35	0	0	0	35	1.0000	218.00	GA
Rv0194	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	56	0	0	28	28	1.0000	274.96	GA
Rv0195	-	POSSIBLE TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY) 	6	0	0	6	0	1.0000	329.17	NE
Rv0196	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	7	0	0	7	0	1.0000	187.71	NE
Rv0197	-	POSSIBLE OXIDOREDUCTASE 	34	0	0	34	0	1.0000	96.59	NE
Rv0198c	-	PROBABLE ZINC METALLOPROTEASE 	43	0	0	43	0	0.9302	92.22	NE
Rv0199	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	12	0	0	12	0	1.0000	143.25	NE
Rv0200	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	8	0	0	8	0	0.8750	124.00	NE
Rv0201c	-	hypothetical protein Rv0201c 	9	0	0	9	0	1.0000	111.78	NE
Rv0202c	mmpL11	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL11 	39	0	0	39	0	0.9487	124.86	NE
Rv0203	-	POSSIBLE EXPORTED PROTEIN 	4	0	0	4	0	1.0000	76.00	NE
Rv0204c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	20	0	0	20	0	1.0000	178.55	NE
Rv0205	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	13	0	0	13	0	1.0000	152.08	NE
Rv0206c	mmpL3	POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL3 	35	21	10	4	0	0.2000	80.43	ES
Rv0207c	-	hypothetical protein Rv0207c 	9	0	0	9	0	1.0000	175.89	NE
Rv0208c	trmB	tRNA (guanine-N(7))-methyltransferase 	12	0	0	12	0	1.0000	106.08	NE
Rv0209	-	hypothetical protein Rv0209 	15	0	0	15	0	0.9333	88.21	NE
Rv0210	-	hypothetical protein Rv0210 	13	0	0	13	0	1.0000	269.00	NE
Rv0211	pckA	phosphoenolpyruvate carboxykinase 	25	0	0	25	0	0.9600	181.12	NE
Rv0212c	nadR	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR (PROBABLY ASNC-FAMILY) 	7	0	0	7	0	0.8571	172.00	NE
Rv0213c	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 	31	0	0	31	0	0.9677	182.20	NE
Rv0214	fadD4	acyl-CoA synthetase 	34	0	0	34	0	0.9706	143.70	NE
Rv0215c	fadE3	PROBABLE ACYL-CoA DEHYDROGENASE FADE3 	18	0	0	18	0	0.9444	166.35	NE
Rv0216	-	hypothetical protein Rv0216 	24	0	0	24	0	0.8750	62.24	NE
Rv0217c	lipW	POSSIBLE ESTERASE LIPW 	22	0	0	22	0	0.9545	98.48	NE
Rv0218	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	0	0	19	0	0.9474	177.50	NE
Rv0219	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	12	0	0	12	0	1.0000	106.00	NE
Rv0220	lipC	PROBABLE ESTERASE LIPC 	25	0	0	25	0	0.8800	99.27	NE
Rv0221	-	hypothetical protein Rv0221 	28	0	0	28	0	0.9286	185.81	NE
Rv0222	echA1	enoyl-CoA hydratase 	9	0	0	9	0	1.0000	111.67	NE
Rv0223c	-	PROBABLE ALDEHYDE DEHYDROGENASE 	26	0	0	26	0	0.9615	95.80	NE
