ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gene+TTN States,HMM+NP States
Rv0072,-,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER ,17,16,True,0.36599320558678816,0.10836046905389739,0.2791179916885138,0.042388125098943984,-0.08687521389827435,0.21014854152912563,257.1842432889409,237.03529411764706,GA,NE
Rv0073,-,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER ,16,16,True,0.5040309062778868,0.024989940978273183,0.3641725508699861,0.008486299741307378,-0.1398583554079007,0.04737313903294613,158.14436573036747,204.93124999999998,GA,NE
Rv0074,-,hypothetical protein Rv0074 ,20,20,True,0.17215531818266797,0.461346053128282,0.3345692882474964,0.0066094475493720115,0.1624139700648284,0.003195231013587804,74.54574686756065,107.99000000000001,GA,NE
Rv0075,-,PROBABLE AMINOTRANSFERASE ,25,24,True,0.2045337821959033,0.311227504017037,0.18169199511932727,0.11924036134590887,-0.022841787076576026,0.6834300419885303,119.38484514635519,135.072,NE,NE
Rv0076c,-,PROBABLE MEMBRANE PROTEIN ,3,3,True,0.7945264529889748,0.14967818147065762,0.5012617283682559,0.13923486397957366,-0.29326472462071895,0.5520351996482387,112.59703565146681,279.76666666666665,NE,NE
Rv0077c,-,PROBABLE OXIDOREDUCTASE ,15,15,True,0.03433587229824125,0.9107891146640792,0.018996532040975476,0.9108557726253207,-0.015339340257265771,0.8807948370712141,72.54399374994726,89.72666666666667,NE,NE
Rv0078,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,10,10,True,-0.49824036185545584,0.09115367466383491,-0.352700618302099,0.05033685457628587,0.14553974355335686,0.23123163075332434,18.84880557979865,25.97,NE,NE
Rv0078A,-,hypothetical protein Rv0078A ,10,10,True,0.3461962394411145,0.2725275766508093,0.2768804910027601,0.13524811697275685,-0.06931574843835442,0.6149485659418381,106.5891668151495,191.64000000000001,NE,NE
Rv0079,-,hypothetical protein Rv0079 ,14,14,True,0.23284114141178316,0.3937071549387096,0.15933264417842824,0.3238869079676234,-0.07350849723335492,0.4193197119622761,100.56720953906917,99.53571428571426,NE,NE
Rv0080,-,hypothetical protein Rv0080 ,5,5,True,-0.024168686066266723,0.9654218731687524,0.18468318901048267,0.5077147571861029,0.2088518750767494,0.44074647398367006,44.8842077358531,75.48,NE,NE
Rv0081,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,6,6,True,0.40752585393792173,0.3247379913356577,0.3141498369951233,0.19361716328091336,-0.09337601694279846,0.6980587155253759,69.35142749439304,127.46666666666665,NE,NE
Rv0082,-,PROBABLE OXIDOREDUCTASE ,7,5,True,-0.6169545013550441,0.0780602424587807,-0.26732033253979326,0.23461006794399394,0.3496341688152509,0.04874066394474393,35.810506182486456,38.34285714285715,NE,NE
Rv0083,-,PROBABLE OXIDOREDUCTASE ,23,21,True,0.08078202270666536,0.7307203454589878,0.05104282161917667,0.7045805698124804,-0.02973920108748869,0.6149485659418381,68.62369153826182,94.90434782608696,NE,NE
Rv0084,hycD,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) ,9,8,True,-0.24882341286865187,0.47696958335267864,-0.219934068940308,0.27017703067788945,0.028889343928343858,0.8639921766638388,43.032603676204616,60.888888888888886,NE,NE
Rv0085,hycP,POSSIBLE HYDROGENASE HYCP ,4,4,True,-0.7935810788840497,0.08853856689128449,-0.6517326123741172,0.019947255077117355,0.14184846650993255,0.7025656878217367,16.92924465961065,11.525,GD,NE
Rv0086,hycQ,POSSIBLE HYDROGENASE HYCQ ,15,14,True,-0.30541797140132787,0.22852900154184363,-0.2123509311480439,0.16258424269164543,0.09306704025328397,0.2427311063698935,27.10392518863818,45.873333333333335,NE,NE
Rv0087,hycE,POSSIBLE FORMATE HYDROGENASE HYCE (FHL) ,26,22,True,-0.7478209631571107,2.6653608737761657e-06,-0.6178368098371442,8.605819809372149e-10,0.1299841533199665,0.0016740256329664841,15.255388934271455,22.45384615384615,GD,NE
Rv0088,-,hypothetical protein Rv0088 ,14,13,True,-0.3193915642575339,0.2227465937807234,-0.25603442339744736,0.09927935121748674,0.06335714086008654,0.496668797085634,23.5106780057125,44.192857142857136,NE,NE
Rv0089,-,POSSIBLE METHYLTRANSFERASE/METHYLASE ,11,11,True,0.10726624729508548,0.7512577824307217,0.03037345643188526,0.8837153949396959,-0.07689279086320022,0.5237500719776419,52.864529369788286,73.99999999999999,NE,NE
Rv0090,-,POSSIBLE MEMBRANE PROTEIN ,12,12,True,0.35231586650684427,0.2114504771423364,0.16593885892875418,0.3433843846079375,-0.1863770075780901,0.05311359739797025,106.197293521547,137.59166666666667,NE,NE
Rv0091,mtn,PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) ,11,10,True,-0.018919778895898257,0.9609180449562159,0.028926118499535133,0.8876746086486822,0.04784589739543339,0.7132233000670225,109.43914804008637,125.33636363636364,NE,NE
Rv0092,ctpA,PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA ,29,25,True,-0.33746137986525165,0.04678350835826404,-0.1899533160949412,0.07543859666664841,0.14750806377031045,6.985668028465795e-05,35.00422294880059,48.76896551724137,NE,NE
Rv0093c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,9,8,True,-0.38699971958218765,0.23989057139438738,-0.20909658719396307,0.29744839198702744,0.17790313238822458,0.18587990101932197,24.788409719729025,36.955555555555556,NE,NE
Rv0094c,-,hypothetical protein Rv0094c ,14,14,True,0.3998891612893402,0.1122522109959747,0.4117634943176439,0.005034973942108718,0.011874333028303707,0.9138491826311688,74.80258926809479,133.1642857142857,GA,NE
Rv0095c,-,hypothetical protein Rv0095c ,10,6,True,-0.9614894196586441,0.0002815626413056385,-0.6431856882531937,0.00014763241367185502,0.31830373140545043,0.00821881521936327,18.740790713865373,15.570000000000002,GD,NE
Rv0096,PPE1,PPE FAMILY PROTEIN ,34,34,True,0.12207786672801342,0.5000074350690421,0.14079942682774219,0.16381465656874078,0.018721560099728765,0.6435804114760818,77.74520877067577,112.43823529411765,NE,NE
Rv0097,-,POSSIBLE OXIDOREDUCTASE ,26,26,True,0.1942378380410859,0.3294556411243756,-0.09971159093927166,0.40829366085210617,-0.2939494289803576,2.983679969759123e-10,121.4450615273253,107.86923076923075,NE,NE
Rv0098,-,hypothetical protein Rv0098 ,12,11,True,-0.14767020430349972,0.6346447593631779,-0.26034479444607056,0.12269851236260947,-0.11267459014257084,0.2650092451603061,38.04615421904733,61.63333333333333,NE,NE
Rv0099,fadD10,acyl-CoA synthetase ,32,29,True,-0.5706398882952899,0.00010434212346803371,-0.5774609312122352,1.855872253962964e-10,-0.006821042916945297,0.8863156149481117,33.67722528583455,33.128125,GD,NE
Rv0100,-,hypothetical protein Rv0100 ,3,3,True,0.13157247786423068,0.8396998078864096,-0.22132307110858057,0.5438309480828576,-0.3528955489728113,0.46981004177096874,76.06514640291104,115.39999999999999,NE,NE
Rv0101,nrp,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) ,123,117,True,-0.19138292781228705,0.017656425722544108,-0.12392773066942957,0.013802112785906512,0.06745519714285748,0.0,54.89303811315215,68.67235772357724,GD,NE
Rv0102,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,42,16,True,0.11210086322154535,0.9253438283622979,0.2818667021730044,0.6624603299074132,0.16976583895145908,,33.232580298894604,50.7,NE,ES
Rv0103c,ctpB,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB ,31,29,True,0.08167780108210902,0.6838690674850272,0.14239043569371562,0.17983060863858952,0.0607126346116066,0.09182491945331671,94.0287149967201,126.59677419354836,NE,NE
Rv0104,-,hypothetical protein Rv0104 ,28,27,True,0.3687513612963653,0.031472010881713586,0.28043453620940195,0.007186009272090883,-0.08831682508696337,0.023019786664919765,146.72172089419254,159.91785714285714,GA,NE
Rv0105c,rpmB,50S ribosomal protein L28 ,5,4,True,-0.24818084061140278,0.6061650816839596,-0.4600606890472521,0.07402135866820723,-0.21187984843584934,0.4338139873652086,136.14975067510264,90.43999999999998,NE,NE
Rv0106,-,hypothetical protein Rv0106 ,12,11,True,-0.03765560173900878,0.9135051435174774,-0.02381362000457175,0.9016874849929493,0.013841981734437032,0.9138491826311688,48.40534103660908,76.96666666666667,NE,NE
Rv0107c,ctpI,PROBABLE CATION-TRANSPORTER ATPASE I CTPI ,66,58,True,-0.26889287289801367,0.014340688890022518,-0.05799126949344115,0.4475749369948429,0.21090160340457254,0.0,45.07099528037277,70.27575757575757,NE,NE
Rv0108c,-,hypothetical protein Rv0108c ,2,2,True,0.5262086703425032,0.47769373033939233,0.6471781566543287,0.11646885950848543,0.12096948631182547,0.8878333935731706,83.31093370407335,147.25,NE,NE
Rv0109,PE_PGRS1,PE-PGRS FAMILY PROTEIN ,28,24,True,-0.5180776030252737,0.0012762424553566566,0.01913926593802227,0.8836275624708213,0.537216868963296,0.0,29.798002865236214,53.61071428571427,NE,NE
Rv0110,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,14,14,True,0.5251550726746383,0.03005499064013928,0.2574761075983217,0.0978324747317457,-0.26767896507631667,0.001264932028331689,259.57795102952605,239.54999999999998,NE,NE
Rv0111,-,POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE ,43,42,True,0.14526135947706925,0.3489996183005873,0.1551996243099814,0.07744776613538094,0.009938264832912158,0.7646183736537957,76.91702200468059,108.67441860465117,NE,NE
Rv0112,gca,"POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) ",31,31,True,-0.4115611310502804,0.00927798257706991,-0.5839684182865418,2.3899015814573906e-10,-0.17240728723626136,1.0580335141170575e-06,34.83989922519372,39.80645161290323,GD,NE
Rv0113,gmhA,PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) ,13,12,True,-0.6297871495961213,0.01014820555547779,-0.7501603687644701,2.3793601057694562e-07,-0.12037321916834887,0.18669899488948852,19.989576166220793,21.730769230769234,GD,NE
Rv0114,gmhB,"POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) ",10,10,True,0.4282316097748568,0.15776851143604964,0.20557639318102316,0.27832959391273876,-0.22265521659383364,0.05876901141911748,158.94811720744895,172.97,NE,NE
Rv0115,hddA,POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA ,18,18,True,0.2767148162541463,0.2331565132829897,0.34587643763170794,0.00792175961799934,0.06916162137756166,0.3046848387914375,88.89681674093707,146.15555555555557,GA,NE
