ORF ID,Name,Description,Total # TA Sites,#Sites with 0 insertions,Used in Models,Gene (M0) Coef,Gene(M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gene+TTN States,HMM+NP States
Rv0011c,-,putative septation inhibitor protein ,3,0,True,-0.8155367924676773,0.15267031552495,-1.174029101217268,0.0007416513709917928,-0.3584923087495906,0.5004121418839297,84.82394068434456,10.4,GD,NE
Rv0012,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,17,0,True,0.16439564931675646,0.5380584579795548,0.10160050249233551,0.5580542840593904,-0.06279514682442094,0.4360115544056377,138.6264605486793,153.82352941176472,NE,NE
Rv0013,trpG,para-aminobenzoate synthase component II ,14,13,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0014c,pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,25,21,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0015c,pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,16,12,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0016c,pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,36,2,True,-0.4470131149339706,0.0028111456895620426,-0.34103278441526974,0.0008226932332639501,0.10598033051870087,0.0009635293034433322,20.871337698644457,31.734285714285715,GD,NE
Rv0017c,rodA,PROBABLE CELL DIVISION PROTEIN RODA ,27,0,True,0.06397273829004085,0.7723146330358102,-0.003040115515851816,0.9860400953841434,-0.06701285380589267,0.139519565768571,75.60334906146048,89.0777777777778,NE,NE
Rv0018c,ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,25,10,True,0.0567552015474487,0.8559636236772145,-0.029877775765981024,0.8879131850048764,-0.08663297731342973,0.3669386419508827,68.96068906655154,83.39285714285714,NE,ESD
Rv0019c,-,hypothetical protein Rv0019c ,13,0,True,0.11534813670870837,0.7314562364413469,-0.1797158504348219,0.3663397288401978,-0.29506398714353027,0.004705599604167109,68.02065387560323,61.708333333333336,NE,NE
Rv0020c,TB39.8,hypothetical protein Rv0020c ,52,41,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ESD
Rv0021c,-,hypothetical protein Rv0021c ,23,0,True,0.38606445890762764,0.0507685029718157,0.46454954469367155,0.00018782981452793794,0.0784850857860439,0.14243144990748502,123.64276076916633,173.41739130434783,GA,NE
Rv0022c,whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,8,0,True,0.1962572910870488,0.620361089084632,0.22135322458154763,0.3635751662218034,0.025095933494498818,0.9062313168536091,109.9387594154519,163.0125,NE,NE
Rv0023,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,12,3,True,-1.5499360777871223,2.542963089366462e-11,-1.455854199641684,8.16232907781131e-20,0.09408187814543822,0.41040945103731474,9.808203175203133,1.2333333333333336,GD,GD
Rv0024,-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,13,0,True,-0.008474165084631224,0.9796752563303273,0.14784766391945595,0.44333993319675175,0.15632182900408717,0.10164585574314523,48.81598142015019,92.36923076923077,NE,NE
Rv0025,-,hypothetical protein Rv0025 ,8,0,True,0.23141326547808527,0.5530992949225679,0.3401754329457672,0.1473051736185549,0.10876216746768191,0.5528149785425798,98.76541186484182,85.275,NE,NE
Rv0026,-,hypothetical protein Rv0026 ,15,2,True,0.04505402172512761,0.8843966898146101,-0.06213226663790781,0.7476892536346302,-0.10718628836303543,0.20771420152607303,178.64009634485052,119.72,NE,NE
Rv0027,-,hypothetical protein Rv0027 ,5,0,True,-0.1165591862583814,0.822851380468206,-0.22592285126126177,0.46940437803685897,-0.10936366500288038,0.7338889937610963,142.20973269538536,49.72,NE,NE
Rv0028,-,hypothetical protein Rv0028 ,5,0,True,0.19029111666448595,0.7116767878357073,0.056189962705512596,0.8753821195717396,-0.13410115395897335,0.6683343135575561,86.97760264994876,170.89999999999998,NE,NE
Rv0029,-,hypothetical protein Rv0029 ,19,0,True,0.1744749113523334,0.4839452259518836,0.19675584572197424,0.20017814683562543,0.022280934369640848,0.7865863307113852,87.37695678024257,131.67894736842103,NE,NE
Rv0030,-,hypothetical protein Rv0030 ,5,0,True,-0.0189211505383672,0.9716969113927074,-0.028889813192252745,0.9358113633400825,-0.009968662653885546,0.9780818216173024,117.7657093762089,92.78,NE,NE
Rv0031,-,POSSIBLE REMNANT OF A TRANSPOSASE ,1,0,True,-0.5540815044872904,0.6210777385932338,0.3987827959664346,0.5777091690864263,0.952864300453725,,13.190859145549808,10.6,NE,Uncertain
Rv0032,bioF2,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ,56,9,True,-0.1718446419600331,0.20270827969629968,-0.3036427912921639,0.0001404152033189165,-0.13179814933213083,3.234327091864283e-11,119.6845849129884,119.325,GD,NE
Rv0033,acpA,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ,4,0,True,0.6486834663110523,0.19762263243192624,0.3533545151313986,0.3041584439052406,-0.29532895117965374,0.4287421180745179,230.7769342230487,201.22499999999997,NE,NE
Rv0034,-,hypothetical protein Rv0034 ,5,0,True,0.2361849081920737,0.6374530745156535,0.33582909643183073,0.2712819431638231,0.09964418823975704,0.7580266703284034,95.882136393299,139.83999999999997,NE,NE
Rv0035,fadD34,PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,25,1,True,0.2790989980077327,0.15887928827048894,0.2881072883333053,0.02178030006252913,0.009008290325572599,0.8950386755162761,129.19324709822203,172.93600000000004,GA,NE
Rv0036c,-,hypothetical protein Rv0036c ,4,0,True,0.503206066266384,0.3386093272379028,0.4289689272303342,0.1998338371038259,-0.07423713903604978,0.8632324471218475,107.89625745064279,155.3,NE,NE
Rv0037c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,21,1,True,0.22474634937146787,0.3265845275082746,0.2865321457800739,0.03875220717844706,0.06178579640860604,0.32060243108405767,147.9332709311195,178.9190476190476,GA,NE
Rv0038,-,hypothetical protein Rv0038 ,8,0,True,0.48510846006400826,0.1680740604451392,0.14060458398779063,0.5796443103094188,-0.34450387607621763,0.03519966191297304,193.0588011828054,190.93750000000003,NE,NE
Rv0039c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,4,0,True,0.22190798464054765,0.6996957648911952,0.2650862201046583,0.4456150046041881,0.043178235464110676,0.9242758303627754,69.02296816422063,126.625,NE,NE
Rv0040c,mtc28,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ,10,0,True,0.354155009908446,0.279827249083888,0.3273682860849858,0.11411407699212112,-0.0267867238234602,0.8704862143339466,143.051802833842,156.32,NE,NE
Rv0041,leuS,leucyl-tRNA synthetase ,73,70,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0042c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ,5,0,True,0.12403324181813553,0.8118130471334055,-0.047735214220240234,0.892486798171512,-0.17176845603837576,0.5708835530773541,37.87408827605214,65.96000000000001,NE,NE
Rv0043c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,11,0,True,0.08874016257311806,0.7996643813723133,0.04110438072287996,0.8636591136100293,-0.047635781850238104,0.7395232923256261,71.8664733817517,85.27272727272727,NE,NE
Rv0044c,-,POSSIBLE OXIDOREDUCTASE ,20,1,True,0.017953130298399404,0.9516147636549812,0.13867950862118789,0.36761171349392746,0.12072637832278849,0.042516749348822165,75.2910759792205,105.67999999999999,NE,NE
Rv0045c,-,POSSIBLE HYDROLASE ,7,0,True,0.4459904247557133,0.24839334259049659,0.36931636805475915,0.1395383202622182,-0.07667405670095417,0.7350694910062562,114.5060680695561,202.21428571428572,NE,NE
Rv0046c,ino1,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) ,17,15,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0047c,-,hypothetical protein Rv0047c ,8,0,True,0.3359658612883596,0.36841420162890304,0.22410679918767354,0.35707074085898954,-0.11185906210068605,0.5411116999598122,140.76988309978117,209.57500000000002,NE,NE
Rv0048c,-,POSSIBLE MEMBRANE PROTEIN ,16,0,True,0.33390759304201256,0.1826499651831542,0.17135706420296312,0.3193701803691604,-0.16255052883904944,0.031196837166480546,315.5463647362026,261.6375,NE,NE
Rv0049,-,hypothetical protein Rv0049 ,9,0,True,0.23992009496046468,0.5105424983969458,0.09229017647357583,0.7067986383206992,-0.14762991848688883,0.32376885524349786,106.29999408380145,127.2111111111111,NE,NE
Rv0050,ponA1,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) ,37,2,True,-0.3561189921450677,0.019293736699094635,-0.44168272212785936,4.1528232963893735e-06,-0.08556372998279166,0.004951809998047872,24.744159835328045,30.875675675675673,GD,NE
Rv0051,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,34,1,True,-0.1393285078830197,0.4518934183717391,-0.23932962319703302,0.026812225006129016,-0.10000111531401332,0.002573132046758761,80.96574139362926,79.34705882352942,GD,NE
Rv0052,-,hypothetical protein Rv0052 ,7,0,True,0.4098959610769292,0.2972909000958107,0.39838593339840084,0.10690304957416771,-0.011510027678528378,0.963398293913358,112.37473358701017,222.08571428571426,NE,NE
Rv0053,rpsF,30S ribosomal protein S6 ,8,4,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0054,ssb,single-strand DNA-binding protein ,5,5,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0055,rpsR,30S ribosomal protein S18 ,5,3,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0056,rplI,50S ribosomal protein L9 ,8,0,True,-0.03540848268467506,0.9375025633703687,0.09957384876215375,0.702399580724875,0.1349823314468288,0.44296703048417385,38.28290783691575,63.4375,NE,NE
Rv0057,-,hypothetical protein Rv0057 ,15,0,True,-0.17034213602835688,0.564302462967629,-0.14232657045815472,0.44383967910685984,0.028015565570202156,0.8033197530013517,37.2895897959588,50.285714285714285,NE,NE
Rv0058,dnaB,replicative DNA helicase ,39,35,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0059,-,hypothetical protein Rv0059 ,21,0,True,0.6420984885648284,0.0007312715964166418,0.2733197086973036,0.05047494344400755,-0.36877877986752483,5.692068816287588e-09,338.9614797526524,262.4095238095238,NE,GA
Rv0060,-,hypothetical protein Rv0060 ,24,16,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0061,-,hypothetical protein Rv0061 ,6,0,True,0.13316814429492438,0.7759154362386087,0.21376763337974783,0.4523737728260529,0.08059948908482345,0.762199118019099,95.85056329859071,81.55,NE,Uncertain
Rv0062,celA1,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) ",23,0,True,0.26107258879913187,0.21549106188604236,0.10387279074643631,0.4771502577928476,-0.15719979805269557,0.0018254724642666922,110.52470887554051,115.9217391304348,NE,NE
Rv0063,-,POSSIBLE OXIDOREDUCTASE ,24,1,True,0.19506294661939896,0.3659886300277676,-0.18694379965632665,0.17050635542643572,-0.3820067462757256,1.531685416798029e-11,156.12107927014944,112.14583333333333,NE,NE
Rv0064,-,hypothetical protein Rv0064 ,69,2,True,-0.22170961535240327,0.052368860321221546,-0.23784642789820196,0.0010925919455350244,-0.016136812545798684,0.4039749491573026,42.57325457788145,51.189855072463764,GD,NE
Rv0065,-,hypothetical protein Rv0065 ,8,1,True,0.018444524698617643,0.9668085532783586,-0.08340819952721953,0.7518994841421502,-0.10185272422583717,0.5810133705642789,107.06195913751074,107.16250000000001,NE,NE
Rv0066c,icd2,PROBABLE ISOCITRATE DEHYDROGENASE ,38,5,True,-0.4733144728519959,0.0008119035410017457,-0.526879311761965,1.3193294725939119e-08,-0.053564838909969104,0.085832684950642,43.392140038649686,38.90263157894737,GD,NE
Rv0067c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) ,12,0,True,-0.2281030829725145,0.46495153119037,-0.34048527482251817,0.06657972367393837,-0.11238219185000367,0.3065353990930831,29.321900509275086,33.391666666666666,NE,NE
Rv0068,-,short chain dehydrogenase ,12,0,True,0.04940591573738251,0.887145239132174,-0.028691504469902648,0.9004364041477542,-0.07809742020728516,0.5109028820468053,104.13270101433523,142.06666666666666,NE,NE
Rv0069c,sdaA,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) ,12,0,True,-0.08765460260629589,0.7922261195016469,-0.27866672541525966,0.14566659039547988,-0.1910121228089638,0.0651174517568172,45.7205597087864,57.050000000000004,NE,NE
Rv0070c,glyA2,PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) ,18,1,True,-0.17032610456191513,0.5092341345402756,-0.11928235222489918,0.46820658622047906,0.051043752337015955,0.5179241101821943,84.84703850199051,101.43333333333334,NE,NE
Rv0071,-,POSSIBLE MATURASE ,9,1,True,-0.041028766787096924,0.9196748181009174,0.12624674270384334,0.5977214810108612,0.16727550949094028,0.2548726344201015,71.37069948076699,90.17777777777779,NE,NE
Rv0072,-,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER ,17,1,True,0.36375782006706353,0.12579620644760853,0.28193329748098794,0.07101232131577456,-0.08182452258607559,0.2821983520589695,257.1842432889409,237.03529411764706,NE,NE
Rv0073,-,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER ,16,0,True,0.501795520758101,0.03201110261108633,0.35568641367769105,0.0236210953044024,-0.14610910708040992,0.053881052067295626,158.14436573036747,204.93124999999998,GA,NE
Rv0074,-,hypothetical protein Rv0074 ,20,0,True,0.16991993266290606,0.48413469053202113,0.3114224847002928,0.02692509111947703,0.14150255203738676,0.016258154731951715,74.54574686756065,107.99000000000001,GA,NE
Rv0075,-,PROBABLE AMINOTRANSFERASE ,25,1,True,0.20229839667612695,0.33599888317186194,0.17718849403464354,0.18528867236337324,-0.02510990264148341,0.6787292325743447,119.38484514635519,135.072,NE,NE
Rv0076c,-,PROBABLE MEMBRANE PROTEIN ,3,0,True,0.7922910674691926,0.1680740604451392,0.49066448860999545,0.2052256966315738,-0.3016265788591972,0.5734768703885329,112.59703565146681,279.76666666666665,NE,NE
Rv0077c,-,PROBABLE OXIDOREDUCTASE ,15,0,True,0.03210048677847647,0.9188377763563115,0.01654107815457106,0.936044451892801,-0.015559408623905407,0.8920475458363569,72.54399374994726,89.72666666666667,NE,NE
Rv0078,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,10,0,True,-0.5004757473751996,0.1026723224702273,-0.3719080210212301,0.06760460549766735,0.1285677263539695,0.340623150949874,18.84880557979865,25.97,NE,NE
Rv0078A,-,hypothetical protein Rv0078A ,10,0,True,0.34396085392135867,0.2959345846422475,0.25753994348454673,0.22666549423549065,-0.08642091043681194,0.5525782427725554,106.5891668151495,191.64000000000001,NE,NE
Rv0079,-,hypothetical protein Rv0079 ,14,0,True,0.2306057558920469,0.4161895377011374,0.14741268949128106,0.42662478557800726,-0.08319306640076585,0.3892173430479914,100.56720953906917,99.53571428571426,NE,NE
Rv0080,-,hypothetical protein Rv0080 ,5,0,True,-0.026404071586024723,0.9643308739624581,0.15902546706994505,0.6223639416567585,0.18542953865596978,0.5385100366774597,44.8842077358531,75.48,NE,NE
Rv0081,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,6,0,True,0.4052904684181954,0.34659577575568257,0.3040820480791466,0.2754554014911365,-0.10120842033904875,0.6983070562379018,69.35142749439304,127.46666666666665,NE,NE
Rv0082,-,PROBABLE OXIDOREDUCTASE ,7,2,True,-0.6191898868747768,0.08897277313287122,-0.28493220981955947,0.26818175612863787,0.33425767705521736,0.07718529691643551,35.810506182486456,38.34285714285715,NE,NE
Rv0083,-,PROBABLE OXIDOREDUCTASE ,23,2,True,0.07854663718691002,0.7467791584942991,0.081154575956411,0.5882522396986252,0.002607938769500981,0.9728816871748037,68.62369153826182,94.90434782608696,NE,NE
Rv0084,hycD,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) ,9,1,True,-0.2510587983883826,0.4889050398645355,-0.22818552787075544,0.31952589736956283,0.022873270517627137,0.9048120792629931,43.032603676204616,60.888888888888886,NE,NE
Rv0085,hycP,POSSIBLE HYDROGENASE HYCP ,4,0,True,-0.7958164644037911,0.10057250948729003,-0.6468519210603262,0.04233720230418165,0.14896454334346487,0.7120984427288423,16.92924465961065,11.525,GD,NE
Rv0086,hycQ,POSSIBLE HYDROGENASE HYCQ ,15,1,True,-0.3076533569210673,0.2423954043851198,-0.2281538582896629,0.18633251299161716,0.07949949863140443,0.37571605206060055,27.10392518863818,45.873333333333335,NE,NE
Rv0087,hycE,POSSIBLE FORMATE HYDROGENASE HYCE (FHL) ,26,4,True,-0.750056348676868,5.285684186181524e-06,-0.6246062365615379,2.5227937471285845e-08,0.12545011211533008,0.004533998456807811,15.255388934271455,22.45384615384615,GD,NE
Rv0088,-,hypothetical protein Rv0088 ,14,1,True,-0.3216269497773105,0.2369931209531495,-0.2676927303754959,0.12820873023455903,0.05393421940181459,0.6048211941265698,23.5106780057125,44.192857142857136,NE,NE
Rv0089,-,POSSIBLE METHYLTRANSFERASE/METHYLASE ,11,0,True,0.10503086177530425,0.7639284310815376,0.011508818846301377,0.9624151911942205,-0.09352204292900287,0.46177076598910044,52.864529369788286,73.99999999999999,NE,NE
Rv0090,-,POSSIBLE MEMBRANE PROTEIN ,12,0,True,0.35008048098709665,0.23224082380253688,0.15109477259301982,0.4523737728260529,-0.19898570839407684,0.05420736898918314,106.197293521547,137.59166666666667,NE,NE
Rv0091,mtn,PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) ,11,1,True,-0.021155164415650365,0.9581576132788313,0.02625104417318113,0.9136290370488239,0.047406208588831496,0.7407914306167425,109.43914804008637,125.33636363636364,NE,NE
Rv0092,ctpA,PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA ,29,4,True,-0.33969676538501103,0.05404208395138073,-0.18380465424266024,0.13337595840504096,0.1558921111423508,7.431591358995653e-05,35.00422294880059,48.76896551724137,NE,NE
Rv0093c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,9,1,True,-0.3892351051019535,0.25488666423649814,-0.2282105740103735,0.31952589736956283,0.16102453109158002,0.2742444517788439,24.788409719729025,36.955555555555556,NE,NE
Rv0094c,-,hypothetical protein Rv0094c ,14,0,True,0.39765377576959277,0.12893378447949716,0.39819598985444493,0.017218876039084,0.0005422140848521662,0.9984048386317937,74.80258926809479,133.1642857142857,GA,NE
Rv0095c,-,hypothetical protein Rv0095c ,10,4,True,-0.9637248051783702,0.0004280717975890739,-0.6376017647430109,0.0008351859985408194,0.32612304043535933,0.010879182460949892,18.740790713865373,15.570000000000002,GD,NE
Rv0096,PPE1,PPE FAMILY PROTEIN ,34,0,True,0.11984248120827488,0.5264165024181812,0.1343840759690365,0.24788477924296295,0.014541594760761625,0.7518989397513411,77.74520877067577,112.43823529411765,NE,NE
Rv0097,-,POSSIBLE OXIDOREDUCTASE ,26,0,True,0.19200245252135598,0.354807257601379,-0.06661900303442309,0.6406923588099278,-0.2586214555557791,4.0981927442527356e-08,121.4450615273253,107.86923076923075,NE,NE
Rv0098,-,hypothetical protein Rv0098 ,12,1,True,-0.1499055898232585,0.6420765873332007,-0.24021331361941128,0.21500013286836053,-0.09030772379615279,0.432775022583863,38.04615421904733,61.63333333333333,NE,NE
Rv0099,fadD10,acyl-CoA synthetase ,32,3,True,-0.57287527381503,0.00016296317909588517,-0.5808242606606192,8.581762785372994e-09,-0.007948986845589201,0.8778882463266323,33.67722528583455,33.128125,GD,NE
Rv0100,-,hypothetical protein Rv0100 ,3,0,True,0.12933709234450463,0.8481176096841573,-0.17787596768175584,0.6747328633051547,-0.3072130600262605,0.5661123723295122,76.06514640291104,115.39999999999999,NE,NE
Rv0101,nrp,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) ,123,6,True,-0.19361831333200422,0.020589067441550233,-0.13365721706449457,0.018059546018462155,0.059961096267509645,1.3219425554211739e-12,54.89303811315215,68.67235772357724,GD,NE
Rv0102,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,42,26,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0103c,ctpB,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB ,31,2,True,0.07944241556242275,0.7001635836586669,0.14884501375377365,0.21732100349288946,0.0694025981913509,0.06991244977319643,94.0287149967201,126.59677419354836,NE,NE
Rv0104,-,hypothetical protein Rv0104 ,28,1,True,0.36651597577662853,0.03984168168865451,0.2723710217879534,0.02178030006252913,-0.09414495398867512,0.023565914110105182,146.72172089419254,159.91785714285714,GA,NE
Rv0105c,rpmB,50S ribosomal protein L28 ,5,1,True,-0.25041622613116343,0.6172020786610307,-0.4237686807715645,0.1556485184690339,-0.17335245464040105,0.5661123723295122,136.14975067510264,90.43999999999998,NE,NE
Rv0106,-,hypothetical protein Rv0106 ,12,1,True,-0.039890987258738554,0.9094313411461823,-0.04145209979545084,0.8551909121521443,-0.0015611125367122891,0.9914843048229204,48.40534103660908,76.96666666666667,NE,NE
Rv0107c,ctpI,PROBABLE CATION-TRANSPORTER ATPASE I CTPI ,66,8,True,-0.27112825841773497,0.017017081363749968,-0.07120196352368267,0.40254438890931954,0.19992629489405228,0.0,45.07099528037277,70.27575757575757,NE,NE
Rv0108c,-,hypothetical protein Rv0108c ,2,0,True,0.5239732848227483,0.4982953085895806,0.6274282361480137,0.18389935336806817,0.10345495132526539,0.9158611778400126,83.31093370407335,147.25,NE,NE
Rv0109,PE_PGRS1,PE-PGRS FAMILY PROTEIN ,28,4,True,-0.5203129885450534,0.0017269332141648986,-0.004811249158686567,0.9749291299009788,0.5155017393863668,0.0,29.798002865236214,53.61071428571427,NE,NE
Rv0110,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,14,0,True,0.5229196871548948,0.03757410364939075,0.2673875101667599,0.1290479196118741,-0.2555321769881349,0.0035097957025408124,259.57795102952605,239.54999999999998,NE,NE
Rv0111,-,POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE ,43,1,True,0.14302597395731764,0.37635612641156024,0.15651642035738494,0.11817726462773157,0.013490446400067302,0.7015831121032696,76.91702200468059,108.67441860465117,NE,NE
Rv0112,gca,"POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) ",31,0,True,-0.41379651657005484,0.011545726843117792,-0.575588050667825,2.14944440451136e-08,-0.1617915340977702,1.1489730816371947e-05,34.83989922519372,39.80645161290323,GD,NE
Rv0113,gmhA,PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) ,13,1,True,-0.6320225351158533,0.012650538902789813,-0.7243577964880931,8.50965468156337e-06,-0.0923352613722398,0.3744583816186091,19.989576166220793,21.730769230769234,GD,NE
Rv0114,gmhB,"POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) ",10,0,True,0.425996224255096,0.1774471601476821,0.2064977240115516,0.3437457181541353,-0.2194985002435444,0.08250369525788691,158.94811720744895,172.97,NE,NE
Rv0115,hddA,POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA ,18,0,True,0.2744794307343985,0.25597763136785157,0.3305511116055016,0.02588860259070176,0.05607168087110309,0.46628941585100525,88.89681674093707,146.15555555555557,GA,NE
