ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv0040c,mtc28,Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen),10,9,1,0,0,10,0,1,156.4,NE
Rv0041,leuS,Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS),73,69,4,72,0,1,0,0.02739726,111.5,ES
Rv0042c,-,Possible transcriptional regulatory protein (probably MarR-family),5,5,0,0,0,5,0,1,66.2,NE
Rv0043c,-,Probable transcriptional regulatory protein (probably GntR-family),11,11,0,0,0,11,0,1,85.36363636,NE
Rv0044c,-,Possible oxidoreductase,20,18,2,0,0,20,0,0.95,111.2631579,NE
Rv0045c,-,Possible hydrolase,7,7,0,0,0,5,2,1,202.1428571,NE
Rv0046c,ino1,myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase),17,14,3,16,0,0,1,0.058823529,14,ES
Rv0047c,-,hypothetical protein,8,8,0,0,0,8,0,1,209.625,NE
Rv0048c,-,Possible membrane protein,16,15,1,0,0,16,0,1,261.625,NE
Rv0049,-,hypothetical protein,9,9,0,0,0,9,0,1,127.2222222,NE
Rv0050,ponA1,Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase),37,36,1,0,0,37,0,0.945945946,32.65714286,NE
Rv0051,-,Probable conserved transmembrane protein,34,30,4,0,0,34,0,0.970588235,81.75757576,NE
Rv0052,-,hypothetical protein,7,6,1,0,0,7,0,1,222,NE
Rv0053,rpsF,30S ribosomal protein S6 RpsF,7,7,0,5,0,2,0,0.285714286,39.5,ES
Rv0054,ssb,Single-strand binding protein Ssb (helix-destabilizing protein),5,4,1,5,0,0,0,0,0,ES
Rv0055,rpsR1,30S ribosomal protein S18-1 RpsR1,5,4,1,3,0,2,0,0.2,123,ES
Rv0056,rplI,50S ribosomal protein L9 RplI,8,7,1,0,0,8,0,1,63.5,NE
Rv0057,-,Hypothetical protein,16,15,1,1,0,15,0,0.9375,47.13333333,NE
Rv0058,dnaB,Probable replicative DNA helicase DnaB,39,37,2,39,0,0,0,0,0,ES
Rv0059,-,Hypothetical protein,21,21,0,0,0,0,21,1,262.4285714,GA
Rv0060,-,hypothetical protein,23,22,1,22,0,1,0,0.130434783,198,ES
Rv0061c,-,Hypothetical protein,6,6,0,0,0,6,0,1,81.66666667,NE
Rv0062,celA1,"Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)",22,21,1,0,0,22,0,1,115.8181818,NE
Rv0063,-,Possible oxidoreductase,24,22,2,0,0,24,0,0.958333333,116.9565217,NE
Rv0064,-,Probable conserved transmembrane protein,69,64,5,0,0,69,0,0.942028986,54.30769231,NE
Rv0064A,vapB1,Possible antitoxin VapB1,4,4,0,0,0,4,0,1,277.25,NE
Rv0065,vapC1,Possible toxin VapC1,8,7,1,0,0,8,0,0.875,122.7142857,NE
Rv0066c,icd2,Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP),38,34,4,0,0,38,0,0.868421053,44.75757576,NE
Rv0067c,-,Possible transcriptional regulatory protein (possibly TetR-family),12,12,0,0,0,12,0,0.916666667,36.36363636,NE
Rv0068,-,Probable oxidoreductase,12,11,1,0,0,12,0,1,142,NE
Rv0069c,sdaA,Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD),12,12,0,0,0,12,0,1,57.08333333,NE
Rv0070c,glyA2,Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2),18,14,4,0,0,18,0,0.944444444,107.4117647,NE
Rv0071,-,Possible maturase,8,6,2,0,0,8,0,0.875,114.1428571,NE
Rv0072,-,Probable glutamine-transport transmembrane protein ABC transporter,17,15,2,0,0,17,0,0.941176471,251.9375,NE
Rv0073,-,Probable glutamine-transport ATP-binding protein ABC transporter,16,16,0,0,0,16,0,1,205.0625,NE
Rv0074,-,hypothetical protein,20,18,2,0,0,20,0,1,107.95,NE
Rv0075,-,Probable aminotransferase,25,21,4,0,0,25,0,0.96,140.7916667,NE
Rv0076c,-,Probable membrane protein,3,3,0,0,0,3,0,1,279.6666667,NE
Rv0077c,-,Probable oxidoreductase,15,13,2,0,0,15,0,1,89.73333333,NE
Rv0078,-,Probable transcriptional regulatory protein,9,8,1,0,0,9,0,1,28.66666667,NE
Rv0078A,-,Hypothetical protein,10,10,0,0,0,10,0,1,191.5,NE
Rv0078B,-,hypothetical protein,2,2,0,0,0,2,0,1,186.5,NE
Rv0079,-,hypothetical protein,14,13,1,0,0,14,0,1,99.57142857,NE
Rv0080,-,hypothetical protein,5,5,0,0,0,5,0,1,75.4,NE
Rv0081,-,Probable transcriptional regulatory protein,6,5,1,0,0,6,0,1,127.3333333,NE
Rv0082,-,Probable oxidoreductase,7,6,1,0,0,7,0,0.714285714,53.6,NE
Rv0083,-,Probable oxidoreductase,23,20,3,0,0,23,0,0.913043478,103.9047619,NE
Rv0084,hycD,Possible formate hydrogenlyase HycD (FHL),9,8,1,0,0,9,0,0.888888889,68.625,NE
Rv0085,hycP,Possible hydrogenase HycP,4,4,0,0,0,4,0,0.75,15.33333333,NE
Rv0086,hycQ,Possible hydrogenase HycQ,15,12,3,0,0,15,0,0.933333333,49.35714286,NE
Rv0087,hycE,Possible formate hydrogenase HycE (FHL),26,22,4,0,0,26,0,0.769230769,29.3,NE
Rv0088,-,Possible polyketide cyclase/dehydrase,14,14,0,0,0,14,0,0.928571429,47.61538462,NE
Rv0089,-,Possible methyltransferase/methylase,11,10,1,0,0,11,0,1,73.90909091,NE
Rv0090,-,Possible membrane protein,12,12,0,0,0,12,0,1,137.5,NE
Rv0091,mtn,Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase),11,8,3,0,0,11,0,0.909090909,138,NE
Rv0092,ctpA,Cation transporter P-type ATPase a CtpA,30,27,3,0,0,30,0,0.833333333,56.6,NE
Rv0093c,-,Probable conserved membrane protein,9,8,1,0,0,9,0,0.888888889,41.5,NE
Rv0094c,-,hypothetical protein,14,14,0,0,0,14,0,1,133.0714286,NE
Rv0095c,-,hypothetical protein,10,9,1,0,0,10,0,0.6,26,NE
Rv0096,PPE1,PPE family protein PPE1,34,32,2,0,0,34,0,0.970588235,115.8484848,NE
Rv0097,-,Possible oxidoreductase,26,25,1,0,0,26,0,1,107.8076923,NE
Rv0098,fcoT,Probable fatty acyl CoA thioesterase type III FcoT,12,12,0,0,0,12,0,0.916666667,67.27272727,NE
Rv0099,fadD10,Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),32,29,3,0,0,32,0,0.84375,39.25925926,NE
Rv0100,-,hypothetical protein,4,4,0,0,0,4,0,1,88,NE
Rv0101,nrp,Probable peptide synthetase Nrp (peptide synthase),123,105,18,0,0,123,0,0.926829268,74.0877193,NE
Rv0102,-,Probable conserved integral membrane protein,42,37,5,41,0,1,0,0.142857143,9.333333333,ES
Rv0103c,ctpB,Probable cation-transporter P-type ATPase B CtpB,31,29,2,0,0,31,0,0.903225806,140.1785714,NE
Rv0104,-,hypothetical protein,28,25,3,0,0,28,0,0.964285714,165.9259259,NE
Rv0105c,rpmB1,50S ribosomal protein L28-1 RpmB1,5,5,0,0,0,5,0,0.8,113,NE
Rv0106,-,hypothetical protein,12,10,2,0,0,12,0,0.916666667,84,NE
Rv0107c,ctpI,Probable cation-transporter ATPase I CtpI,66,55,11,0,0,66,0,0.848484848,82.80357143,NE
Rv0108c,-,Hypothetical protein,2,2,0,0,0,2,0,1,147.5,NE
Rv0109,PE_PGRS1,PE-PGRS family protein PE_PGRS1,28,18,10,0,0,28,0,0.785714286,68.09090909,NE
Rv0110,-,Probable conserved integral membrane protein,13,13,0,0,0,13,0,1,231.3076923,NE
Rv0111,-,Possible transmembrane acyltransferase,43,40,3,0,0,43,0,0.976744186,111.3095238,NE
Rv0112,gca,"Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)",31,29,2,0,0,31,0,0.903225806,44.03571429,NE
Rv0113,gmhA,Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase),13,12,1,0,0,13,0,0.923076923,23.58333333,NE
Rv0114,gmhB,"Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)",10,10,0,0,0,10,0,1,173,NE
Rv0115,hddA,Possible D-alpha-D-heptose-7-phosphate kinase HddA,18,18,0,0,0,18,0,0.944444444,154.8235294,NE
Rv0116c,ldtA,"Probable L,D-transpeptidase LdtA",18,17,1,0,0,18,0,0.944444444,174.8235294,NE
Rv0117,oxyS,Oxidative stress response regulatory protein OxyS,17,15,2,0,0,17,0,0.941176471,55.4375,NE
Rv0118c,oxcA,Probable oxalyl-CoA decarboxylase OxcA,26,23,3,0,0,26,0,0.807692308,48.80952381,NE
Rv0119,fadD7,Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),14,11,3,0,0,14,0,0.714285714,11.2,NE
Rv0120c,fusA2,Probable elongation factor G FusA2 (EF-G),28,26,2,0,0,28,0,0.821428571,30.13043478,NE
Rv0121c,-,hypothetical protein,10,10,0,0,0,10,0,0.9,44.88888889,NE
Rv0122,-,Hypothetical protein,9,9,0,0,0,9,0,0.777777778,49.42857143,NE
Rv0123,-,hypothetical protein,9,7,2,0,0,9,0,0.555555556,64,NE
Rv0124,PE_PGRS2,PE-PGRS family protein PE_PGRS2,14,11,3,0,0,14,0,0.857142857,61.91666667,NE
Rv0125,pepA,Probable serine protease PepA (serine proteinase) (MTB32A),10,10,0,0,0,10,0,1,69.3,NE
Rv0126,treS,Trehalose synthase TreS,31,31,0,0,0,31,0,1,221.6451613,NE
Rv0127,mak,Maltokinase Mak,30,29,1,0,0,30,0,1,96.36666667,NE
Rv0128,-,Probable conserved transmembrane protein,20,20,0,0,0,20,0,1,209.65,NE
Rv0129c,fbpC,Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C),28,25,3,0,0,28,0,0.928571429,139.9230769,NE
Rv0130,htdZ,Probable 3-hydroxyl-thioester dehydratase,4,4,0,0,0,4,0,1,76.5,NE
Rv0131c,fadE1,Probable acyl-CoA dehydrogenase FadE1,18,18,0,0,0,18,0,1,77.11111111,NE
Rv0132c,fgd2,Putative F420-dependent glucose-6-phosphate dehydrogenase Fgd2,15,14,1,0,0,15,0,0.933333333,147.2857143,NE
Rv0133,-,GCN5-related N-acetyltransferase,8,7,1,0,0,8,0,1,135,NE
Rv0134,ephF,Possible epoxide hydrolase EphF (epoxide hydratase) (arene-oxide hydratase),12,12,0,0,0,12,0,1,177.9166667,NE
Rv0135c,-,Possible transcriptional regulatory protein,12,10,2,0,0,12,0,0.916666667,70.45454545,NE
Rv0136,cyp138,Probable cytochrome P450 138 Cyp138,23,22,1,0,0,23,0,1,147.6956522,NE
Rv0137c,msrA,Probable peptide methionine sulfoxide reductase MsrA (protein-methionine-S-oxide reductase) (peptide met(O) reductase),11,9,2,0,0,9,2,1,149,NE
Rv0138,-,hypothetical protein,7,7,0,0,0,0,7,1,535.5714286,GA
Rv0139,-,Possible oxidoreductase,12,11,1,0,0,2,10,1,248.3333333,GA
Rv0140,-,hypothetical protein,16,14,2,0,0,16,0,0.9375,129.7333333,NE
Rv0141c,-,hypothetical protein,9,7,2,0,0,9,0,0.888888889,97.75,NE
Rv0142,-,hypothetical protein,7,6,1,0,0,7,0,1,67.14285714,NE
Rv0143c,-,Probable conserved transmembrane protein,28,25,3,0,0,28,0,1,136.5,NE
Rv0144,-,Probable transcriptional regulatory protein (possibly TetR-family),14,14,0,0,0,14,0,1,295.7142857,NE
Rv0145,-,Possible S-adenosylmethionine-dependent methyltransferase,15,13,2,0,0,15,0,1,172.0666667,NE
Rv0146,-,Possible S-adenosylmethionine-dependent methyltransferase,17,15,2,0,0,6,11,0.941176471,192.5625,GA
Rv0147,-,Probable aldehyde dehydrogenase (NAD+) dependent,26,24,2,0,0,0,26,0.961538462,241.52,GA
Rv0148,-,Probable short-chain type dehydrogenase/reductase,17,17,0,0,0,0,17,1,189.5882353,GA
Rv0149,-,Possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin),22,21,1,0,0,0,22,0.954545455,144.952381,GA
Rv0150c,-,hypothetical protein,5,3,2,0,0,0,5,1,37,GA
Rv0151c,PE1,PE family protein PE1,44,41,3,0,0,0,44,1,231.1590909,GA
Rv0152c,PE2,PE family protein PE2,40,37,3,0,0,2,38,0.95,274.7894737,GA
Rv0153c,ptbB,Phosphotyrosine protein phosphatase PTPB (protein-tyrosine-phosphatase) (PTPase),11,11,0,0,0,11,0,1,98.54545455,NE
Rv0154c,fadE2,Probable acyl-CoA dehydrogenase FadE2,12,11,1,0,0,12,0,0.916666667,220.9090909,NE
Rv0155,pntAa,Probable NAD(P) transhydrogenase (subunit alpha) PntAa [first part; catalytic part] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha),11,11,0,0,0,11,0,1,130.6363636,NE
Rv0156,pntAb,Probable NAD(P) transhydrogenase (subunit alpha) PntAb [second part; integral membrane protein] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha),1,1,0,0,0,1,0,1,297,Uncertain
Rv0157,pntB,Probable NAD(P) transhydrogenase (subunit beta) PntB [integral membrane protein] (pyridine nucleotide transhydrogenase subunit beta) (nicotinamide nucleotide transhydrogenase subunit beta),15,15,0,0,0,15,0,1,172.4666667,NE
Rv0157A,-,hypothetical protein,5,4,1,0,0,5,0,1,104,NE
Rv0158,-,Probable transcriptional regulatory protein (possibly TetR-family),16,16,0,0,0,3,13,1,225.125,GA
Rv0159c,PE3,PE family protein PE3,50,47,3,0,0,0,50,1,301.94,GA
Rv0160c,PE4,PE family protein PE4,42,36,6,0,0,14,28,0.928571429,213.6923077,GA
Rv0161,-,Possible oxidoreductase,19,14,5,0,0,19,0,1,58.68421053,NE
Rv0162c,adhE1,Probable zinc-type alcohol dehydrogenase (E subunit) AdhE1,17,16,1,0,0,17,0,0.941176471,57.5625,NE
Rv0163,-,hypothetical protein,11,11,0,0,0,11,0,1,145,NE
Rv0164,TB18.5,Conserved protein TB18.5,9,7,2,7,0,2,0,0.222222222,575.5,ES
Rv0165c,mce1R,Probable transcriptional regulatory protein Mce1R (probably GntR-family),6,6,0,0,0,6,0,1,121.6666667,NE
Rv0166,fadD5,Probable fatty-acid-CoA ligase FadD5 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),28,28,0,0,0,28,0,0.928571429,178,NE
Rv0167,yrbE1A,Conserved integral membrane protein YrbE1A,7,6,1,0,0,7,0,1,96,NE
Rv0168,yrbE1B,Conserved integral membrane protein YrbE1B,15,14,1,0,0,15,0,1,136.8,NE
Rv0169,mce1A,Mce-family protein Mce1A,39,36,3,0,0,39,0,0.948717949,158.7567568,NE
Rv0170,mce1B,Mce-family protein Mce1B,18,17,1,0,0,18,0,1,132.6111111,NE
Rv0171,mce1C,Mce-family protein Mce1C,25,24,1,0,0,25,0,1,112.24,NE
Rv0172,mce1D,Mce-family protein Mce1D,33,31,2,0,0,33,0,0.939393939,156,NE
Rv0173,lprK,Possible Mce-family lipoprotein LprK (Mce-family lipoprotein Mce1E),16,15,1,0,0,16,0,0.9375,170.5333333,NE
Rv0174,mce1F,Mce-family protein Mce1F,31,29,2,0,0,31,0,1,145.7096774,NE
Rv0175,-,Probable conserved Mce associated membrane protein,9,8,1,0,0,9,0,0.888888889,199.25,NE
Rv0176,-,Probable conserved Mce associated transmembrane protein,15,13,2,0,0,15,0,0.933333333,84.78571429,NE
Rv0177,-,Probable conserved Mce associated protein,12,10,2,0,0,12,0,1,64.08333333,NE
Rv0178,-,Probable conserved Mce associated membrane protein,12,10,2,0,0,12,0,1,135.9166667,NE
Rv0179c,lprO,Possible lipoprotein LprO,23,22,1,0,0,23,0,1,156,NE
Rv0180c,-,Probable conserved transmembrane protein,29,29,0,0,0,29,0,0.965517241,13.60714286,NE
Rv0181c,-,hypothetical protein,16,16,0,0,0,16,0,1,198.9375,NE
Rv0182c,sigG,Probable alternative RNA polymerase sigma factor SigG (RNA polymerase ECF type sigma factor),21,21,0,0,0,21,0,1,163.0952381,NE
Rv0183,-,Possible lysophospholipase,16,16,0,0,0,16,0,1,210.125,NE
Rv0184,-,hypothetical protein,11,11,0,0,0,11,0,0.909090909,76.8,NE
Rv0185,-,hypothetical protein,10,7,3,0,0,10,0,0.7,55.85714286,NE
Rv0186,bglS,Probable beta-glucosidase BglS (gentiobiase) (cellobiase) (beta-D-glucoside glucohydrolase),34,30,4,0,0,34,0,0.970588235,58.90909091,NE
Rv0186A,mymT,"Metallothionein, MymT",4,4,0,0,0,4,0,1,157,NE
Rv0187,-,Probable O-methyltransferase,8,6,2,0,0,8,0,1,53.625,NE
Rv0188,-,Probable conserved transmembrane protein,11,9,2,0,0,11,0,1,145.2727273,NE
Rv0189c,ilvD,Probable dihydroxy-acid dehydratase IlvD (dad),23,19,4,23,0,0,0,0,0,ES
Rv0190,-,hypothetical protein,3,3,0,0,0,0,3,1,166.3333333,GA
Rv0191,-,Probable conserved integral membrane protein,20,16,4,0,0,0,20,1,254.35,GA
Rv0192,-,hypothetical protein,14,14,0,0,0,0,14,1,297.0714286,GA
Rv0192A,-,Conserved secreted protein,3,3,0,0,0,0,3,1,154,GA
Rv0193c,-,Hypothetical protein,35,34,1,0,0,0,35,1,198.6571429,GA
Rv0194,-,Probable transmembrane multidrug efflux pump,56,52,4,0,0,0,56,1,247.2321429,GA
Rv0195,-,Possible two component transcriptional regulatory protein (probably LuxR-family),6,6,0,0,0,0,6,1,303.5,GA
Rv0196,-,Possible transcriptional regulatory protein,7,7,0,0,0,7,0,1,170,NE
Rv0197,-,Possible oxidoreductase,34,33,1,0,0,34,0,0.970588235,74.81818182,NE
Rv0198c,zmp1,Probable zinc metalloprotease Zmp1,43,35,8,0,0,43,0,0.88372093,63.55263158,NE
Rv0199,-,Probable conserved membrane protein,12,9,3,0,0,12,0,1,111.5,NE
Rv0200,-,Possible conserved transmembrane protein,8,5,3,0,0,8,0,0.875,105,NE
Rv0201c,-,hypothetical protein,9,9,0,0,0,9,0,1,86.33333333,NE
Rv0202c,mmpL11,Probable conserved transmembrane transport protein MmpL11,39,36,3,0,0,39,0,0.948717949,110.2702703,NE
Rv0203,-,Possible exported protein,4,4,0,0,0,4,0,1,64.5,NE
Rv0204c,-,Probable conserved transmembrane protein,20,20,0,0,0,20,0,1,150.15,NE
Rv0205,-,Probable conserved transmembrane protein,13,12,1,0,0,13,0,1,132.3076923,NE
Rv0206c,mmpL3,Possible conserved transmembrane transport protein MmpL3,35,32,3,31,0,4,0,0.114285714,121.75,ESD
Rv0207c,-,hypothetical protein,9,7,2,0,0,9,0,1,160.8888889,NE
Rv0208c,-,Hypothetical methlytransferase (methylase),12,11,1,0,0,12,0,1,81.83333333,NE
Rv0209,-,Hypothetical protein,15,11,4,0,0,15,0,0.866666667,75,NE
Rv0210,-,Hypothetical protein,13,11,2,0,0,11,2,1,212.4615385,NE
Rv0211,pckA,Probable iron-regulated phosphoenolpyruvate carboxykinase [GTP] PckA (phosphoenolpyruvate carboxylase) (PEPCK)(pep carboxykinase),25,23,2,0,0,19,6,0.96,152.5416667,NE
Rv0212c,nadR,Possible transcriptional regulatory protein NadR (probably AsnC-family),7,6,1,0,0,7,0,0.857142857,145.6666667,NE
Rv0213c,-,Possible methyltransferase (methylase),31,29,2,0,0,31,0,0.967741935,149.6,NE
Rv0214,fadD4,Probable fatty-acid-CoA ligase FadD4 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),34,31,3,0,0,34,0,0.970588235,110.7272727,NE
Rv0215c,fadE3,Probable acyl-CoA dehydrogenase FadE3,18,17,1,0,0,18,0,0.888888889,153.5,NE
Rv0216,-,Double hotdog hydratase,24,22,2,0,0,24,0,0.75,41.16666667,NE
Rv0217c,lipW,Possible esterase LipW,22,21,1,0,0,22,0,0.954545455,76.57142857,NE
Rv0218,-,Probable conserved transmembrane protein,19,17,2,0,0,19,0,0.947368421,120.1666667,NE
Rv0219,-,Probable conserved transmembrane protein,12,12,0,0,0,12,0,1,71.66666667,NE
Rv0220,lipC,Probable esterase LipC,25,24,1,0,0,25,0,0.88,64.22727273,NE
Rv0221,-,Possible triacylglycerol synthase (diacylglycerol acyltransferase),28,26,2,0,0,28,0,0.928571429,148.6923077,NE
Rv0222,echA1,Probable enoyl-CoA hydratase EchA1 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),9,8,1,0,0,9,0,1,65.44444444,NE
Rv0223c,-,Probable aldehyde dehydrogenase,26,26,0,0,0,26,0,0.884615385,80.2173913,NE
Rv0224c,-,Possible methyltransferase (methylase),16,15,1,15,0,1,0,0.0625,25,ES
Rv0225,-,Possible conserved protein,20,17,3,20,0,0,0,0,0,ES
Rv0226c,-,Probable conserved transmembrane protein,30,28,2,28,0,0,2,0.133333333,195,ES
Rv0227c,-,Probable conserved membrane protein,24,20,4,24,0,0,0,0,0,ES
Rv0228,-,Probable integral membrane acyltransferase,14,13,1,13,0,1,0,0.142857143,20,ES
Rv0229c,-,Possible conserved membrane protein with PIN domain,17,17,0,0,0,17,0,1,115.0588235,NE
Rv0230c,php,Probable phosphotriesterase Php (parathion hydrolase) (PTE) (aryldialkylphosphatase) (paraoxonase) (a-esterase) (aryltriphosphatase) (paraoxon hydrolase),16,15,1,0,0,1,15,1,239.625,GA
Rv0231,fadE4,Probable acyl-CoA dehydrogenase FadE4,37,36,1,0,0,0,37,1,256.3513514,GA
Rv0232,-,Probable transcriptional regulatory protein (probably TetR/AcrR-family),9,9,0,0,0,0,9,1,290.1111111,GA
Rv0233,nrdB,Ribonucleoside-diphosphate reductase (beta chain) NrdB (ribonucleotide reductase small chain),12,12,0,0,0,10,2,1,175.75,NE
Rv0234c,gabD1,Succinate-semialdehyde dehydrogenase [NADP+] dependent (SSDH) GabD1,24,21,3,0,0,24,0,0.916666667,40.90909091,NE
Rv0235c,-,Probable conserved transmembrane protein,27,26,1,0,0,27,0,0.962962963,75.42307692,NE
Rv0236c,aftD,Possible arabinofuranosyltransferase AftD,40,34,6,39,0,1,0,0.025,306,ES
