#Command: python3 Fitness_Esimation.py H37RvBD1_TTN.csv H37RvBD1_hmm_np.csv H37RvBD1.pickle H37RvBD1.prot_table H37RvBD1_Gumbel_predictions.txt
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 315ES 54ESB 731GD 1036GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gene+TTN States,HMM+NP States,Gumbel Call
Rv0031,-,POSSIBLE REMNANT OF A TRANSPOSASE ,1,1,True,-0.4673902769669593,0.6226972395865291,0.46104586206885695,0.43917694416183045,0.9284361390358162,,13.190859145549819,10.6,NE,Uncertain,S
Rv0032,bioF2,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ,56,47,True,-0.08515341443955558,0.49490604282639167,-0.2278531981820206,0.0018849390584370408,-0.142699783742465,1.1616723843029076e-13,119.68458491298837,119.325,GD,NE,NE
Rv0033,acpA,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ,4,4,True,0.7353746938314799,0.09249208734923345,0.4262886295448199,0.13472187646626674,-0.30908606428666,0.3690154283085169,230.77693422304853,201.22499999999997,NE,NE,S
Rv0034,-,hypothetical protein Rv0034 ,5,5,True,0.32287613571254964,0.43524030126404967,0.4011953390663292,0.11582243470879472,0.07831920335377957,0.7948311998833475,95.88213639329894,139.83999999999997,NE,NE,S
Rv0035,fadD34,PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,25,24,True,0.36579022552813817,0.030787239007066036,0.38172729036634445,0.0004430194782791341,0.015937064838206283,0.7843260127160003,129.19324709822192,172.93600000000004,GA,NE,NE
Rv0036c,-,hypothetical protein Rv0036c ,4,4,True,0.5898972937869083,0.1848564181167121,0.5430397158944508,0.0537829291343848,-0.04685757789245748,0.9083631532253007,107.89625745064295,155.3,NE,NE,NE
Rv0037c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,21,20,True,0.31143757689207313,0.10388860202134977,0.3711918827359678,0.0018885668911718405,0.059754305843894684,0.30129055037899094,147.93327093111935,178.9190476190476,GA,NE,NE
Rv0038,-,hypothetical protein Rv0038 ,8,8,True,0.5717996875844822,0.0597118711858571,0.26887025436695716,0.18516369909159508,-0.302929433217525,0.04756613782516706,193.05880118280567,190.93750000000003,NE,NE,NE
Rv0039c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,4,4,True,0.30859921216097574,0.5098683266922567,0.36377415231312055,0.206248835197381,0.0551749401521448,0.8896637376548058,69.02296816422066,126.625,NE,NE,NE
Rv0040c,mtc28,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ,10,10,True,0.4408462374288978,0.11223644927676021,0.41758076892062534,0.017710691923042563,-0.023265468508272436,0.8797443262210047,143.05180283384192,156.32,GA,NE,NE
Rv0041,leuS,leucyl-tRNA synthetase ,73,3,True,-1.7668100910237656,2.968050119280394e-99,-1.8396658791296063,1.9603467863255433e-219,-0.0728557881058407,1.6048855812308298e-07,2.117858633079597,3.0589041095890415,GD,ES,U
Rv0042c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ,5,5,True,0.21072446933857564,0.6203118538969238,0.028432296287661994,0.9253037118399036,-0.18229217305091364,0.513173893620172,37.874088276052085,65.96000000000001,NE,NE,NE
Rv0043c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,11,11,True,0.17543139009355355,0.5348354015634471,0.10816759629902234,0.558079530374597,-0.06726379379453121,0.5887086417520622,71.8664733817517,85.27272727272727,NE,NE,NE
Rv0044c,-,POSSIBLE OXIDOREDUCTASE ,20,19,True,0.10464435781884975,0.6224003998350515,0.2292772135348297,0.06954722160381283,0.12463285571597994,0.025452235918230856,75.29107597922048,105.67999999999999,NE,NE,NE
Rv0045c,-,POSSIBLE HYDROLASE ,7,7,True,0.5326816522761755,0.10835978986687972,0.46992294312597604,0.026162724654125884,-0.06275870915019943,0.7667670001265261,114.50606806955604,202.21428571428572,GA,NE,NE
Rv0046c,ino1,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) ,17,2,False,,,,,,,,0.8705882352941177,ES,ES,E
Rv0047c,-,hypothetical protein Rv0047c ,8,8,True,0.4226570888088207,0.17859524645055597,0.303246243184375,0.13267856442612594,-0.1194108456244457,0.47329855148948646,140.76988309978088,209.57500000000002,NE,NE,NE
Rv0048c,-,POSSIBLE MEMBRANE PROTEIN ,16,16,True,0.42059882056244935,0.049130482309832864,0.27157881534486666,0.0537829291343848,-0.14902000521758269,0.035709177554228574,315.54636473620246,261.6375,NE,NE,NE
Rv0049,-,hypothetical protein Rv0049 ,9,9,True,0.32661132248094243,0.27662680214149254,0.18799503094326658,0.3379831214538578,-0.13861629153767585,0.3201821453404357,106.29999408380137,127.2111111111111,NE,NE,NE
Rv0050,ponA1,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) ,37,35,True,-0.26942776462463613,0.056232639595571614,-0.3515538360561087,7.361515136338995e-05,-0.08212607143147255,0.0042229598203838425,24.744159835328027,30.875675675675673,GD,NE,NE
Rv0051,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,34,33,True,-0.052637280362582084,0.7560022871648997,-0.1637925996546087,0.0927479602358278,-0.11115531929202663,0.00037542031877713404,80.96574139362922,79.34705882352942,NE,NE,NE
Rv0052,-,hypothetical protein Rv0052 ,7,7,True,0.49658718859739365,0.13653415691553972,0.484363260255931,0.021692104938486948,-0.012223928341462631,0.9593369839900615,112.37473358701007,222.08571428571426,GA,NE,NE
Rv0053,rpsF,30S ribosomal protein S6 ,8,4,True,-1.2958925278290123,2.136595057609295e-06,-1.5284442739981854,2.2950791041733832e-17,-0.23255174616917307,0.128370307696749,35.95278032115331,10.037499999999998,GD,ES,U
Rv0054,ssb,single-strand DNA-binding protein ,5,0,False,,,,,,,,0.0,ESB,ES,EB
Rv0055,rpsR,30S ribosomal protein S18 ,5,2,True,-1.2748573132261374,0.000370150388661606,-1.517720940963871,5.602699030056372e-11,-0.24286362773773362,0.36241701808150545,13.650316059172841,24.740000000000002,GD,ES,NE
Rv0056,rplI,50S ribosomal protein L9 ,8,8,True,0.05128274483576625,0.8876921156474965,0.18296034218198734,0.3818560551594625,0.1316775973462211,0.4228642397395141,38.28290783691576,63.4375,NE,NE,NE
Rv0057,-,hypothetical protein Rv0057 ,15,15,True,-0.1535743155435464,0.5260083097510625,-0.1444099234721622,0.3421666704457992,0.009164392071384198,0.9303268870522295,34.80935978471606,47.059999999999995,NE,NE,NE
Rv0058,dnaB,replicative DNA helicase ,39,4,False,,,,,,,,0.046153846153846156,ES,ES,E
Rv0059,-,hypothetical protein Rv0059 ,21,21,True,0.7287897160852966,1.9926265241432105e-05,0.3515166368955686,0.0034308683168439817,-0.377273079189728,7.792322342936586e-10,338.9614797526521,262.4095238095238,GA,GA,U
Rv0060,-,hypothetical protein Rv0060 ,24,8,False,,,,,,,,30.254166666666666,ES,ES,E
Rv0061,-,hypothetical protein Rv0061 ,6,6,True,0.21985937181535284,0.5681114698783567,0.2958074797868387,0.2088756168827906,0.07594810797148585,0.758036607247843,95.85056329859073,81.55,NE,Uncertain,NE
Rv0062,celA1,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) ",23,23,True,0.3477638163195583,0.051519208710207265,0.1845318897793339,0.12102299628813686,-0.16323192654022442,0.0006324010156456376,110.52470887554034,115.9217391304348,NE,NE,U
Rv0063,-,POSSIBLE OXIDOREDUCTASE ,24,23,True,0.2817541741398583,0.11620578003355003,-0.08059767569877603,0.5148058603787187,-0.36235184983863433,1.5313306178654784e-11,156.12107927014924,112.14583333333333,NE,NE,NE
Rv0064,-,hypothetical protein Rv0064 ,69,67,True,-0.13501838783197373,0.20982038345735013,-0.1591080704334121,0.017771471167002693,-0.024089682601438372,0.14313723455627908,42.57325457788143,51.189855072463764,GD,NE,NE
Rv0065,-,hypothetical protein Rv0065 ,8,7,True,0.10513575221906672,0.7630698534696636,0.008688711447377966,0.9734650463133668,-0.09644704077168875,0.5761298527938087,107.06195913751073,107.16250000000001,NE,NE,NE
Rv0066c,icd2,PROBABLE ISOCITRATE DEHYDROGENASE ,38,33,True,-0.38662324533152737,0.0037431762163392776,-0.43467304046760574,3.9046447487404366e-07,-0.04804979513607838,0.10450080322593829,43.39214003864968,38.90263157894737,GD,NE,NE
Rv0067c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) ,12,12,True,-0.14141185545207496,0.6073005521297834,-0.24645322899798977,0.13449770019131604,-0.1050413735459148,0.3076307812863953,29.321900509275082,33.391666666666666,NE,NE,NE
Rv0068,-,short chain dehydrogenase ,12,12,True,0.13609714325782135,0.6203118538969238,0.055382018564118125,0.7627015110799941,-0.08071512469370323,0.45780116367544743,104.13270101433524,142.06666666666666,NE,NE,NE
Rv0069c,sdaA,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) ,12,12,True,-0.0009633750858340686,0.9964720843778477,-0.17577142900854847,0.2984699976634888,-0.1748080539227144,0.07190828851817489,45.72055970878633,57.050000000000004,NE,NE,NE
Rv0070c,glyA2,PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) ,18,17,True,-0.08363487704146819,0.7155632181363667,-0.026858456497965248,0.8622622889343814,0.05677642054350294,0.42442608719787134,84.84703850199045,101.43333333333334,NE,NE,NE
Rv0071,-,POSSIBLE MATURASE ,9,8,True,0.04566246073332335,0.8930572026225762,0.2007722987438732,0.3035707163079907,0.15510983801054984,0.26017848603981114,71.37069948076694,90.17777777777779,NE,NE,NE
Rv0072,-,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER ,17,16,True,0.4504490475875431,0.028180479444525657,0.36457742690842915,0.006443764685307694,-0.08587162067911397,0.22080605782879104,257.18424328894065,237.03529411764706,GA,NE,NE
Rv0073,-,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER ,16,16,True,0.5884867482785888,0.004249246230146153,0.45858989712634024,0.0007594565819639032,-0.12989685115224858,0.06882899112411726,158.14436573036744,204.93124999999998,GA,NE,NE
Rv0074,-,hypothetical protein Rv0074 ,20,20,True,0.25661116018335645,0.19851091119535275,0.4103285527607489,0.000751387553238849,0.15371739257739248,0.005508190509358273,74.54574686756061,107.99000000000001,GA,NE,NE
Rv0075,-,PROBABLE AMINOTRANSFERASE ,25,24,True,0.28898962419660523,0.09925026912389472,0.2670488453799163,0.016460904296325296,-0.021940778816688933,0.7010395032899149,119.38484514635513,135.072,GA,NE,NE
Rv0076c,-,PROBABLE MEMBRANE PROTEIN ,3,3,True,0.8789822949895427,0.07972292852139978,0.6001483321618765,0.06571514872846008,-0.27883396282766626,0.5770229016094195,112.59703565146687,279.76666666666665,NE,NE,S
Rv0077c,-,PROBABLE OXIDOREDUCTASE ,15,15,True,0.1187917142989697,0.6263667078852451,0.09927081857389977,0.5267805321005045,-0.01952089572506993,0.8426847558348772,72.5439937499472,89.72666666666667,NE,NE,NE
Rv0078,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,10,10,True,-0.41378451985477466,0.13841049070881323,-0.27865739367401404,0.12217738767626718,0.13512712618076061,0.2745798706622588,18.848805579798633,25.97,NE,NE,NE
Rv0078A,-,hypothetical protein Rv0078A ,10,10,True,0.4306520814418181,0.12067554650687293,0.362623685446401,0.04140058701633945,-0.0680283959954171,0.6272048896155742,106.58916681514957,191.64000000000001,GA,NE,NE
Rv0079,-,hypothetical protein Rv0079 ,14,14,True,0.3172969834124947,0.18181922975317388,0.24521328690052602,0.1067572609674143,-0.07208369651196866,0.4332019887141973,100.56720953906922,99.53571428571426,NE,NE,NE
Rv0080,-,hypothetical protein Rv0080 ,5,5,True,0.06028715593441194,0.894056284497649,0.2572396936424434,0.3265853635752653,0.19695253770803148,0.47314036152836625,44.88420773585314,75.48,NE,NE,NE
Rv0081,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,6,6,True,0.49198169593864166,0.17530250830462507,0.4023651017712863,0.08175163696368544,-0.08961659416735535,0.7152142220675927,69.351427494393,127.46666666666665,NE,NE,NE
Rv0082,-,PROBABLE OXIDOREDUCTASE ,7,5,True,-0.5324986593543365,0.10837181660253624,-0.1999993906481602,0.3701834990112051,0.3324992687061763,0.06199713572246665,35.810506182486385,38.34285714285715,NE,NE,NE
Rv0083,-,PROBABLE OXIDOREDUCTASE ,23,21,True,0.1652378647073836,0.38670881258358736,0.13769052839367227,0.2570065634120853,-0.02754733631371134,0.6524098544494717,68.62369153826184,94.90434782608696,NE,NE,NE
Rv0084,hycD,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) ,9,8,True,-0.16436757086794332,0.6059711725328222,-0.14489853636744868,0.46966111408126165,0.019469034500494642,0.9122482243292618,43.032603676204616,60.888888888888886,NE,NE,NE
Rv0085,hycP,POSSIBLE HYDROGENASE HYCP ,4,4,True,-0.7091252368833326,0.10617279624224192,-0.5797286019177594,0.039071809069525884,0.1293966349655732,0.7309250548515313,16.929244659610617,11.525,GD,NE,NE
Rv0086,hycQ,POSSIBLE HYDROGENASE HYCQ ,15,14,True,-0.22096212940059126,0.3451564287735577,-0.1280321312907017,0.4035457675692081,0.09292999810988956,0.24643761799393807,27.103925188638186,45.873333333333335,NE,NE,NE
Rv0087,hycE,POSSIBLE FORMATE HYDROGENASE HYCE (FHL) ,26,22,True,-0.66336512115641,1.5092870861672882e-05,-0.5390475907505807,1.8346748349642024e-07,0.12431753040582927,0.0028374145367437036,15.255388934271458,22.45384615384615,GD,NE,NE
Rv0088,-,hypothetical protein Rv0088 ,14,13,True,-0.23493572225686596,0.33260603217214324,-0.17853396627945067,0.2501553053683831,0.056401755977415285,0.5579878575442413,23.510678005712446,44.192857142857136,NE,NE,NE
Rv0089,-,POSSIBLE METHYLTRANSFERASE/METHYLASE ,11,11,True,0.19172208929575757,0.49514074896081034,0.11713910701831037,0.5216318085206243,-0.0745829822774472,0.5438298899683902,52.864529369788194,73.99999999999999,NE,NE,NE
Rv0090,-,POSSIBLE MEMBRANE PROTEIN ,12,12,True,0.4367717085075366,0.08189376033354384,0.2567900262348753,0.11842559330884649,-0.17998168227266131,0.06369332635975525,106.19729352154677,137.59166666666667,NE,NE,NE
Rv0091,mtn,PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) ,11,10,True,0.0655360631048192,0.8280954997139899,0.1101200696486045,0.5496663839799183,0.044584006543785304,0.7349215668587141,109.43914804008642,125.33636363636364,NE,NE,NE
Rv0092,ctpA,PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA ,29,25,True,-0.25300553786459096,0.1206634477582231,-0.1125090409221393,0.30068031026735886,0.14049649694245164,0.00015808083978751292,35.00422294880057,48.76896551724137,NE,NE,NE
Rv0093c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,9,8,True,-0.30254387758148865,0.3144400899123025,-0.13819363047982314,0.4929329823080816,0.16435024710166551,0.22996636740247844,24.78840971972901,36.955555555555556,NE,NE,NE
Rv0094c,-,hypothetical protein Rv0094c ,14,14,True,0.484345003290033,0.03236861262281964,0.4941536149157299,0.0006822648594523698,0.009808611625696906,0.9303268870522295,74.80258926809476,133.1642857142857,GA,NE,NE
Rv0095c,-,hypothetical protein Rv0095c ,10,6,True,-0.8770335776579155,0.0005609684945346336,-0.5767628291986231,0.0008276555166500372,0.30027074845929236,0.012718758289519325,18.740790713865373,15.570000000000002,GD,NE,NE
Rv0096,PPE1,PPE FAMILY PROTEIN ,34,34,True,0.20653370872872612,0.17568105313952828,0.2220769464331561,0.020319345772007044,0.015543237704429974,0.7117925517955394,77.74520877067573,112.43823529411765,GA,NE,U
Rv0097,-,POSSIBLE OXIDOREDUCTASE ,26,26,True,0.278693680041787,0.10547794277901802,-0.007622703791681668,0.955986914855686,-0.2863163838334687,6.558328441722725e-10,121.44506152732528,107.86923076923075,NE,NE,U
Rv0098,-,hypothetical protein Rv0098 ,12,11,True,-0.06321436230280648,0.8269946675136131,-0.1717734321448336,0.3104657567197725,-0.10855906984202711,0.2880585507985772,38.04615421904731,61.63333333333333,NE,NE,NE
Rv0099,fadD10,acyl-CoA synthetase ,32,29,True,-0.4861840462945671,0.0006383277938897256,-0.49722216098008293,9.100633631339164e-08,-0.011038114685515854,0.8109554715323959,33.677225285834524,33.128125,GD,NE,NE
Rv0100,-,hypothetical protein Rv0100 ,3,3,True,0.2160283198648937,0.699348795183815,-0.11256820975056255,0.7595013922223628,-0.32859652961545627,0.5073814107551647,76.06514640291105,115.39999999999999,NE,NE,S
Rv0101,nrp,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) ,123,117,True,-0.10692708581154863,0.18316464012289474,-0.04346006169388398,0.4191765160901618,0.06346702411766464,0.0,54.89303811315208,68.67235772357724,NE,NE,NE
Rv0102,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,42,16,True,-1.670751521965557,3.024548307364481e-51,-1.5346644739838746,1.1928988010443639e-88,0.13608704798168247,8.41302010039273e-08,0.8926441677655219,1.3714285714285714,GD,ES,NE
Rv0103c,ctpB,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB ,31,29,True,0.1661336430828318,0.3054654615809425,0.22173597531814515,0.027494731536125225,0.055602332235313356,0.13049617483877785,94.02871499672008,126.59677419354836,GA,NE,NE
Rv0104,-,hypothetical protein Rv0104 ,28,27,True,0.4532072032970688,0.0035163626465515006,0.3631638684558046,0.0004038601101983205,-0.0900433348412642,0.021374958755419074,146.7217208941926,159.91785714285714,GA,NE,NE
Rv0105c,rpmB,50S ribosomal protein L28 ,5,4,True,-0.16372499861071518,0.7056575116168742,-0.3797110641705738,0.1375079388989893,-0.21598606555985864,0.42680301566496454,136.14975067510258,90.43999999999998,NE,NE,S
Rv0106,-,hypothetical protein Rv0106 ,12,11,True,0.04680024026169039,0.8749907061155398,0.05731829260314608,0.7558299568850624,0.01051805234145569,0.9368765987807444,48.40534103660903,76.96666666666667,NE,NE,NE
Rv0107c,ctpI,PROBABLE CATION-TRANSPORTER ATPASE I CTPI ,66,58,True,-0.184437030897304,0.08586010249789677,0.016532212413389785,0.8361937493514363,0.2009692433106938,0.0,45.07099528037277,70.27575757575757,NE,NE,NE
Rv0108c,-,hypothetical protein Rv0108c ,2,2,True,0.6106645123432047,0.3416137052642372,0.7310947334996372,0.06674277874607232,0.12043022115643243,0.8896637376548058,83.31093370407322,147.25,NE,NE,S
