#Gumbel
#Console: python3 /home/grads/s/schoudhery/.local/bin/transit gumbel murray2013_caulobacter_table_S3_remapped.wig Caulobacter_NA1000.prot_table Caulobacter_gumbel.txt
#Data: b'murray2013_caulobacter_table_S3_remapped.wig'
#Annotation path: b'Caulobacter_NA1000.prot_table'
#FDR Corrected thresholds: 0.996100, 0.064400
#MH Acceptance-Rate:	19.91%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.048927
#Time: 153.75576615333557
#Orf	Name	Desc	k	n	r	s	zbar	Call
CCNA_00060	-	mitochondrial-type Fe-S cluster assembly protein NFU	5	5	0	0	0.000000	NE
CCNA_00061	-	cytochrome p450	15	15	0	0	0.000000	NE
CCNA_00062	trpS	tryptophanyl-tRNA synthetase	1	9	8	740	1.000000	E
CCNA_00063	mviN	MviN-family integral membrane protein	1	15	14	1403	1.000000	E
CCNA_00064	-	methyl-accepting chemotaxis protein	10	10	0	0	0.000000	NE
CCNA_00065	-	S-adenosylmethionine-dependent methyltransferase	9	9	0	0	0.000000	NE
CCNA_00066	-	Rieske (2Fe-2S) domain protein	3	3	0	0	0.000000	NE
CCNA_00067	-	YciI-like protein	1	1	0	0	-1.000000	S
CCNA_00068	gpsA	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	2	2	0	0	-1.000000	S
CCNA_00069	-	O-sialoglycoprotein endopeptidase	3	11	7	808	1.000000	E
CCNA_00070	-	porphobilinogen deaminase	0	2	2	170	-1.000000	S
CCNA_00071	-	uroporphyrinogen-III synthase	1	4	3	65	0.000200	NE
CCNA_00072	-	conserved hypothetical protein	4	4	0	0	0.000000	NE
CCNA_00073	-	HemY domain membrane protein	9	10	1	2	0.000000	NE
CCNA_00074	-	multifunctional fatty acid oxidation complex subunit alpha FadJ	18	18	0	0	0.000000	NE
CCNA_00075	-	3-ketoacyl-CoA thiolase	7	7	0	0	0.000000	NE
CCNA_00076	-	hypothetical protein	6	6	0	0	0.000000	NE
CCNA_00077	-	acyl-CoA dehydrogenase, long-chain specific	11	13	2	20	0.000000	NE
CCNA_00078	-	acyl-CoA dehydrogenase	19	19	0	0	0.000000	NE
CCNA_00079	-	MerR-family transcriptional regulator	4	4	0	0	0.000000	NE
CCNA_00080	-	LexA-related transcriptional repressor	2	2	0	0	-1.000000	S
CCNA_00081	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_00082	lysS	class 1 lysyl-tRNA synthetase	0	17	17	1388	1.000000	E
CCNA_00083	-	phosphoglucomutase/phosphomannomutase	17	18	1	2	0.000000	NE
CCNA_00084	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	12	16	1	2	0.000000	NE
CCNA_00085	-	dienelactone hydrolase-related protein	6	7	1	2	0.000000	NE
CCNA_00086	-	NAD-specific glutamate dehydrogenase	45	59	3	66	0.000000	NE
CCNA_00087	-	conserved membrane spanning protein	7	7	0	0	0.000000	NE
CCNA_00088	-	HerA helicase-related ATPase	12	13	1	2	0.000000	NE
CCNA_00089	-	MHYT/PAS-family GGDEF/EAL protein	23	23	0	0	0.367600	U
CCNA_00090	-	UDP-glucose 4-epimerase	14	15	1	2	0.000000	NE
CCNA_00091	-	transporter, drug/metabolite exporter family	10	10	0	0	0.000000	NE
CCNA_00092	-	short chain dehydrogenase	2	3	1	2	0.000000	NE
CCNA_00093	-	hypothetical protein	0	1	1	2	-1.000000	S
CCNA_00094	hfsJ	WecG/TagA-family glycosyltransferase HfsJ	10	11	1	2	0.000000	NE
CCNA_00095	-	quinone oxidoreductase	13	13	0	0	0.000000	NE
CCNA_00096	-	L-asparaginase	6	7	1	2	0.000000	NE
CCNA_00097	-	conserved hypothetical protein	4	5	1	2	0.000000	NE
CCNA_00098	-	hypothetical protein	2	4	2	32	0.000000	NE
CCNA_00099	fzlC	FtsZ-binding protein FzlC	5	5	0	0	0.000000	NE
CCNA_00100	-	Ribulose-5-phosphate 3-epimerase	2	3	1	2	0.000000	NE
CCNA_00101	rsmB	16S rRNA m5C methyltransferase RsmB	5	5	0	0	0.000000	NE
CCNA_00102	-	conserved hypothetical protein	0	0	0	0	-1.000000	S
CCNA_00103	-	gamma-glutamyltranspeptidase	24	24	0	0	0.443600	U
CCNA_00104	-	orotidine 5'-phosphate decarboxylase	2	3	1	2	0.000000	NE
CCNA_00105	-	MarC family integral membrane protein	6	7	1	2	0.000000	NE
CCNA_00106	-	2-polyprenyl-6-methoxyphenol hydroxylase	2	8	4	230	0.317900	U
CCNA_00107	-	Trm112p-like protein	0	2	2	50	-1.000000	S
CCNA_00108	-	lon endopeptidase-related protein	7	7	0	0	0.000000	NE
CCNA_00109	-	thioredoxin	3	3	0	0	0.000000	NE
CCNA_00110	-	DNA-binding protein	0	0	0	0	-1.000000	S
CCNA_00111	-	conserved hypothetical protein	8	8	0	0	0.000000	NE
CCNA_00112	-	glyoxalase family protein	5	5	0	0	0.000000	NE
CCNA_00113	-	hypothetical protein	4	5	1	2	0.000000	NE
CCNA_00114	-	MarR/EmrR-family transcriptional regulator	3	3	0	0	-1.000000	S
CCNA_00115	-	TolB protein	30	30	0	0	0.500000	U
CCNA_00116	-	phosphoglucosamine mutase	1	11	10	777	1.000000	E
CCNA_00117	-	glucosamine-fructose-6-phosphate aminotransferase, isomerizing	0	21	21	1737	0.999700	E
CCNA_00118	-	porphyrin biosynthesis protein	36	38	1	2	0.000000	NE
CCNA_00119	-	conserved hypothetical protein	3	3	0	0	0.000000	NE
CCNA_00120	-	putative acetyltransferase	6	6	0	0	0.000000	NE
CCNA_00121	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_00122	-	conserved hypothetical protein	2	2	0	0	-1.000000	S
CCNA_00123	-	3-hydroxyacyl CoA dehydrogenase	5	5	0	0	0.000000	NE
CCNA_00124	-	conserved hypothetical protein	10	12	1	2	0.000000	NE
CCNA_00125	-	amino acid efflux permease	5	5	0	0	0.000000	NE
CCNA_00126	-	glutathione S-transferase	7	8	1	2	0.000000	NE
CCNA_00127	-	KTSC domain protein	7	7	0	0	0.000000	NE
CCNA_00128	-	argininosuccinate synthase	17	18	1	2	0.000000	NE
CCNA_00129	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_00130	-	Kup system potassium uptake protein	5	12	3	231	0.010000	NE
CCNA_00131	-	Rrf2 family protein	2	2	0	0	-1.000000	S
CCNA_00132	hetN	ketoacyl reductase hetN	7	8	1	2	0.000000	NE
CCNA_00133	-	radical SAM family enzyme	7	10	2	12	0.000000	NE
CCNA_00134	-	surface protein	1	1	0	0	-1.000000	S
CCNA_00135	-	trypsin-like peptidase	5	5	0	0	0.000000	NE
CCNA_00136	-	AmpG protein	14	15	1	2	0.000000	NE
CCNA_00137	shkA	hybrid two-component histidine kinase/receiver protein ShkA	6	8	1	2	0.000000	NE
CCNA_00138	-	TonB-dependent receptor	21	23	1	2	0.000000	NE
CCNA_00139	chlI	magnesium chelatase subunit ChlI-like ATPase	2	5	2	39	0.000000	NE
CCNA_00140	-	glutathione synthetase	7	9	1	2	0.000000	NE
CCNA_00141	-	tetratricopeptide repeat family protein	4	4	0	0	-1.000000	S
CCNA_00142	-	endonuclease	0	1	1	2	-1.000000	S
CCNA_00143	-	ribosomal RNA small subunit methyltransferase I	5	8	2	72	0.000000	NE
CCNA_00144	-	oxygen-independent coproporphyrinogen-III oxidase	11	11	0	0	0.000000	NE
CCNA_00145	-	xanthosine triphosphate pyrophosphatase	3	3	0	0	-1.000000	S
CCNA_00146	-	glutathione S-transferase	3	3	0	0	0.000000	NE
CCNA_00147	-	hypothetical protein	0	1	1	2	-1.000000	S
CCNA_00148	-	conserved hypothetical protein	2	2	0	0	-1.000000	S
CCNA_00149	-	Cro/CI-family transcriptional regulator	1	1	0	0	-1.000000	S
CCNA_00150	-	PDZ domain family protein	7	7	0	0	0.000000	NE
CCNA_00151	-	ribonuclease PH	6	6	0	0	0.000000	NE
CCNA_00152	-	winged helix-turn-helix transcription repressor HrcA	12	12	0	0	0.000000	NE
CCNA_00153	grpE	adenine nucleotide exchange factor GrpE	1	4	3	350	0.997600	E
CCNA_00154	-	conserved hypothetical membrane protein	2	2	0	0	-1.000000	S
CCNA_00155	-	DNA polymerase III, beta chain	0	9	9	1086	1.000000	E
CCNA_00156	-	ArsR-family transcriptional regulator	1	1	0	0	-1.000000	S
CCNA_00157	-	glyoxalase family protein	6	6	0	0	0.000000	NE
CCNA_00158	recF	DNA replication and repair protein recF	9	9	0	0	0.000000	NE
CCNA_00159	gyrB	DNA gyrase subunit B	2	23	21	2257	0.999600	E
CCNA_00160	-	methyl-accepting chemotaxis protein	17	17	0	0	0.000000	NE
CCNA_00161	-	hypothetical protein	3	4	1	2	0.000000	NE
CCNA_00162	-	conserved hypothetical protein	28	30	1	2	0.000000	NE
CCNA_00163	-	exopolysaccharide transport family protein	35	40	1	2	0.000000	NE
CCNA_00164	-	O-antigen polymerase	24	25	1	2	0.000000	NE
CCNA_00165	pssY	polyisoprenylphosphate hexose-1-phosphotransferase pssY	13	13	0	0	0.000000	NE
CCNA_00166	-	putative transglutaminase-like cysteine proteinase	12	12	0	0	0.000000	NE
CCNA_00167	-	metallophosphatase family protein	16	17	1	2	0.000000	NE
CCNA_00168	-	polysaccharide export protein	11	11	0	0	0.000000	NE
CCNA_00169	-	hypothetical protein	18	22	1	2	0.000000	NE
CCNA_00170	-	TonB-dependent receptor	46	49	1	2	0.000000	NE
CCNA_00171	-	type II secretion pathway protein C	2	2	0	0	-1.000000	S
CCNA_00172	pulD	type II secretion pathway protein D	12	12	0	0	0.000000	NE
CCNA_00173	pulE	type II secretion pathway protein E	10	12	1	2	0.000000	NE
CCNA_00174	pulF	type II secretion pathway protein F	6	8	1	2	0.000000	NE
CCNA_00175	-	type II secretion pathway protein G	8	8	0	0	0.000000	NE
CCNA_00176	-	type II secretion pathway protein H	5	5	0	0	0.000000	NE
CCNA_00177	-	type II secretion pathway protein I	0	0	0	0	-1.000000	S
CCNA_00178	-	type II secretion pathway protein J	6	8	1	2	0.000000	NE
CCNA_00179	-	type II secretion pathway protein K	4	5	1	2	0.000000	NE
CCNA_00180	-	type II secretion pathway protein L	13	13	0	0	0.000000	NE
CCNA_00181	-	type II secretion pathway protein M	1	1	0	0	-1.000000	S
CCNA_00182	-	type II secretion pathway protein N	3	3	0	0	0.000000	NE
CCNA_00183	pulO	type II secretory pathway, prepilin signal peptidase	2	2	0	0	-1.000000	S
CCNA_00184	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_00185	-	TonB-dependent receptor	40	41	1	2	0.000000	NE
CCNA_00186	-	guanine-hypoxanthine permease	12	12	0	0	0.000000	NE
CCNA_00187	-	NUP-family purine nucleoside permease	12	12	0	0	0.000000	NE
CCNA_00188	-	ABC transporter ATP-binding protein	12	12	0	0	0.000000	NE
CCNA_00189	-	zinc-finger domain protein	2	2	0	0	-1.000000	S
CCNA_00190	-	acyl-CoA hydrolase	1	2	1	2	-1.000000	S
CCNA_00191	-	N-acetylglutamate synthase domain protein	6	6	0	0	0.000000	NE
CCNA_00192	-	long-chain-fatty-acid--CoA ligase	15	17	1	2	0.000000	NE
CCNA_00193	leuB	3-isopropylmalate dehydrogenase	9	10	1	2	0.000000	NE
CCNA_00194	-	Antibiotic biosynthesis monooxygenase family protein	3	3	0	0	0.000000	NE
CCNA_00195	leuD	3-isopropylmalate dehydratase small subunit	4	4	0	0	-1.000000	S
CCNA_00196	leuC	3-isopropylmalate dehydratase large subunit	9	10	1	2	0.000000	NE
CCNA_00197	rplS	LSU ribosomal protein L19P	3	6	2	61	0.000000	NE
CCNA_00198	trmD	tRNA (guanine-N1) -methyltransferase	5	8	2	78	0.000000	NE
CCNA_00199	-	TadG/vWA-family protein	30	31	1	2	0.000000	NE
CCNA_00200	-	2OG-Fe(II) oxygenase superfamily protein	14	15	1	2	0.000000	NE
CCNA_00201	-	outer membrane protein	7	8	1	2	0.000000	NE
CCNA_00202	-	DesA-family fatty acid desaturase	10	10	0	0	0.000000	NE
CCNA_00203	-	sterol desaturase family protein	7	8	1	2	0.000000	NE
CCNA_00204	kefB	glutathione-regulated potassium-efflux system protein kefB	16	17	1	2	0.000000	NE
CCNA_00205	-	NAD(P)H-quinone reductase	10	10	0	0	0.000000	NE
CCNA_00206	-	succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A	6	7	1	2	0.000000	NE
CCNA_00207	-	succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B	4	4	0	0	0.000000	NE
CCNA_00208	-	type 1 glutamine amidotransferase (GATase1)-like domain protein	8	8	0	0	0.000000	NE
CCNA_00209	-	undecaprenyl-phosphomannose:protein mannosyltransferase	16	17	1	2	0.000000	NE
CCNA_00210	-	TonB-dependent receptor	49	50	1	2	0.000000	NE
CCNA_00211	-	Porphyromonas-type peptidyl-arginine deiminase	3	5	1	2	0.000000	NE
CCNA_00212	-	N-carbamoylputrescine amidase	2	15	13	656	0.912900	U
CCNA_00213	-	ribosomal-protein-alanine acetyltransferase	6	6	0	0	0.000000	NE
CCNA_00214	-	TonB-dependent receptor	28	29	1	2	0.000000	NE
CCNA_00215	-	SapC surface layer protein	7	8	1	2	0.000000	NE
CCNA_00216	-	hot dog superfamily protein	1	2	1	2	-1.000000	S
CCNA_00217	-	thiol:disulfide interchange protein DsbD	15	15	0	0	0.000000	NE
CCNA_00218	-	conserved hypothetical protein	9	9	0	0	0.000000	NE
CCNA_00220	-	thiol-disulfide isomerase and thioredoxin	8	8	0	0	0.000000	NE
CCNA_00221	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_00222	-	glucose-6-phosphate isomerase/glucose-6 phosphate 1-epimerase	1	7	6	1080	0.828000	U
CCNA_00223	-	esterase lipase Family protein	11	11	0	0	0.000000	NE
CCNA_00224	-	TonB-dependent receptor protein	26	27	1	2	0.000000	NE
CCNA_00225	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_00226	-	conserved hypothetical protein	2	2	0	0	-1.000000	S
CCNA_00227	-	methyltransferase	2	2	0	0	-1.000000	S
CCNA_00228	-	putative membrane spanning protein	11	11	0	0	0.000000	NE
CCNA_00229	-	CAAX amino terminal protease family protein	8	8	0	0	0.000000	NE
CCNA_00230	-	ribosomal large subunit pseudouridine synthase B	8	8	0	0	0.000000	NE
CCNA_00231	-	tRNA-specific adenosine deaminase	1	1	0	0	-1.000000	S
CCNA_00232	-	hypothetical protein	3	3	0	0	0.000000	NE
CCNA_00233	-	UDP-N-acetylglucosamine 4,6-dehydratase	10	13	1	2	0.000000	NE
CCNA_00234	-	WecE-family cell wall biogenesis enzyme	15	15	0	0	0.000000	NE
CCNA_00235	-	hypothetical protein	4	4	0	0	0.000000	NE
CCNA_00236	-	conserved hypothetical protein	6	7	1	2	0.000000	NE
CCNA_00237	chvI	two-component response regulator chvI	11	11	0	0	0.000000	NE
CCNA_00238	chvG	two-component sensor histidine kinase chvG	7	7	0	0	0.000000	NE
CCNA_00239	hprK	serine kinase/phosphatase HprK	1	1	0	0	-1.000000	S
CCNA_00240	-	PTS system, IIA component	5	5	0	0	0.000000	NE
CCNA_00241	-	phosphocarrier protein HPr	0	0	0	0	-1.000000	S
CCNA_00243	-	hypothetical protein	9	9	0	0	0.000000	NE
CCNA_00244	-	HAD superfamily phophatase	5	5	0	0	0.000000	NE
CCNA_00245	-	pterin-4-alpha-carbinolamine dehydratase	2	2	0	0	-1.000000	S
CCNA_00246	-	cyclohexanol dehydrogenase	5	5	0	0	0.000000	NE
CCNA_00247	spdR	two-component receiver protein SpdR	7	8	1	2	0.000000	NE
CCNA_00248	-	sensor histidine protein kinase	13	13	0	0	0.000000	NE
CCNA_00249	-	SCO1/SenC family protein	11	11	0	0	0.000000	NE
CCNA_00250	-	poly(3-hydroxyalkanoate) depolymerase	19	20	1	2	0.000000	NE
CCNA_00251	-	zinc metalloprotease	4	4	0	0	0.000000	NE
CCNA_00252	pbpX	multimodular transpeptidase-transglycosylase PbpX	33	34	1	2	0.000000	NE
CCNA_00253	-	aspartate-semialdehyde dehydrogenase	6	6	0	0	0.000000	NE
CCNA_00254	-	RarD family membrane permease	12	13	1	2	0.000000	NE
CCNA_00255	-	esterase	9	9	0	0	0.000000	NE
CCNA_00256	-	pyridoxine kinase	7	7	0	0	0.000000	NE
CCNA_00257	-	adenosylhomocysteinase	18	20	1	2	0.000000	NE
CCNA_00259	-	hypothetical protein	8	10	1	2	0.000000	NE
CCNA_00260	-	glutathione S-transferase	6	7	1	2	0.000000	NE
CCNA_00261	-	ribonucleoside-diphosphate reductase beta chain	1	17	10	393	0.928000	U
CCNA_00262	-	ketopantoate reductase panE/ApbA family protein	5	6	1	2	0.000000	NE
CCNA_00263	-	hypothetical protein	4	4	0	0	-1.000000	S
CCNA_00264	-	C4-dicarboxylate transport protein	8	9	1	2	0.000000	NE
CCNA_00265	-	AMP nucleosidase	23	23	0	0	0.375200	U
CCNA_00266	-	3-ketoacyl-CoA thiolase	8	8	0	0	0.000000	NE
CCNA_00267	-	MutT-like protein	5	5	0	0	0.000000	NE
CCNA_00268	dnaX	DNA polymerase III subunit gamma/tau	2	12	10	1319	0.997900	E
CCNA_00269	-	YbaB/EbfC-family DNA-binding protein	1	1	0	0	-1.000000	S
CCNA_00270	recR	Recombination protein recR	3	3	0	0	0.000000	NE
CCNA_00271	-	hypothetical protein	4	4	0	0	-1.000000	S
CCNA_00272	-	RmuC family protein	8	8	0	0	0.000000	NE
CCNA_00273	-	peptide deformylase	2	11	7	285	0.999900	E
CCNA_00274	-	conserved hypothetical protein	6	6	0	0	0.000000	NE
CCNA_00275	-	transposase, DDE family	17	17	0	0	0.000000	NE
CCNA_00276	-	conserved hypothetical protein	5	5	0	0	0.000000	NE
CCNA_00277	-	succinyl-diaminopimelate desuccinylase	3	9	3	156	0.000000	NE
CCNA_00278	-	glutaminase	6	7	1	2	0.000000	NE
CCNA_00279	-	NAD(P)H-quinone reductase	1	3	2	374	0.971800	U
CCNA_00280	-	tRNA pseudouridine synthase A	5	7	1	2	0.000000	NE
CCNA_00281	-	methionyl-tRNA formyltransferase	3	4	1	2	0.000000	NE
CCNA_00282	-	conserved cell surface protein	0	0	0	0	-1.000000	S
CCNA_00283	-	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	0	4	4	347	0.999900	E
CCNA_00284	-	pyrimidine 5'-nucleotidase family protein	5	5	0	0	0.000000	NE
CCNA_00285	-	acetylglutamate kinase	8	8	0	0	0.000000	NE
CCNA_00286	lovR	two-component receiver domain protein LovR	6	6	0	0	0.000000	NE
CCNA_00287	lovK	photosensory histidine protein kinase LovK	10	11	1	2	0.000000	NE
CCNA_00288	-	ABC-type sulfate transport system, periplasmic component	16	16	0	0	0.000000	NE
CCNA_00289	-	hypothetical protein	4	4	0	0	-1.000000	S
CCNA_00290	-	autotransporter protein	38	41	1	2	0.000000	NE
CCNA_00291	phoR	phosphate regulon sensor protein phoR	7	7	0	0	0.000000	NE
CCNA_00292	pstC	phosphate transport system permease protein pstC	19	21	1	2	0.000000	NE
CCNA_00293	pstA	phosphate transport system permease protein pstA	7	8	1	2	0.000000	NE
CCNA_00294	pstB	phosphate transport ATP-binding protein pstB	4	4	0	0	0.000000	NE
CCNA_00295	phoU	phosphate transport system protein phoU	4	6	1	2	0.000000	NE
CCNA_00296	phoB	phosphate regulon response regulator PhoB	6	7	1	2	0.000000	NE
CCNA_00297	-	two-component response regulator	9	9	0	0	0.000000	NE
CCNA_00298	-	hypothetical protein	9	9	0	0	0.000000	NE
CCNA_00299	-	phosphoribosylamine--glycine ligase	14	15	1	2	0.000000	NE
CCNA_00300	-	glyoxalase superfamily protein	5	5	0	0	0.000000	NE
CCNA_00301	-	phosphotransferase family protein	19	19	0	0	0.000000	NE
CCNA_00302	-	imidazolonepropionase-related amidohydrolase	11	11	0	0	0.000000	NE
CCNA_00303	lpxK	tetraacyldisaccharide-1-P 4'-kinase	2	7	4	602	0.999900	E
CCNA_00304	-	3-deoxy-D-manno-octulosonic-acid transferase	9	10	1	2	0.000000	NE
CCNA_00305	czcD	cobalt-zinc-cadmium resistance protein czcD	4	4	0	0	0.000000	NE
CCNA_00306	-	lysophospholipid acyltransferase	2	4	1	2	0.000000	NE
CCNA_00307	-	phospholipid-lipopolysaccharide ABC transporter	0	13	13	1607	0.995800	U
CCNA_00308	ctpA	protein tyrosine phosphatase CtpA	3	12	9	509	1.000000	E
CCNA_00309	-	conserved hypothetical protein	0	6	6	156	1.000000	E
CCNA_00310	-	3'-phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase family protein	9	9	0	0	0.000000	NE
CCNA_00311	-	Zn-dependent protease family protein	7	9	1	2	0.000000	NE
CCNA_00312	-	putative membrane spanning protein	4	4	0	0	0.000000	NE
CCNA_00313	-	peptidase, M14 family	27	27	0	0	0.494300	U
CCNA_00314	-	hypothetical protein	8	8	0	0	0.000000	NE
CCNA_00315	-	3-polyprenyl-4-hydroxybenzoate decarboxylase	15	17	1	2	0.000000	NE
CCNA_00316	-	glutamate 5-kinase	7	8	1	2	0.000000	NE
CCNA_00317	cgtA	GTP-binding protein CgtA	1	13	6	149	0.491000	U
CCNA_00318	-	hypothetical protein	13	13	0	0	0.000000	NE
CCNA_00319	-	acetyltransferase, GNAT family	8	8	0	0	0.000000	NE
CCNA_00320	-	LSU ribosomal protein L27P	0	2	2	98	-1.000000	S
CCNA_00321	-	LSU ribosomal protein L21P	1	6	4	249	0.932000	U
CCNA_00322	-	conserved hypothetical protein	6	6	0	0	0.000000	NE
CCNA_00323	-	low-affinity zinc transport protein	7	7	0	0	0.000000	NE
CCNA_00324	-	ExbD-family protein	4	4	0	0	0.000000	NE
CCNA_00326	-	vegetatible incompatibility protein HET-E-1	5	6	1	2	0.000000	NE
CCNA_00327	-	FMN-binding nitroreductase family enzyme	4	5	1	2	0.000000	NE
CCNA_00328	mtgA	monofunctional biosynthetic peptidoglycan transglycosylase MtgA	10	10	0	0	0.000000	NE
CCNA_00329	-	ribosomal-protein-alanine acetyltransferase	1	1	0	0	-1.000000	S
CCNA_00330	mopB	molybdenum-pterin binding protein mopB	4	5	1	2	0.000000	NE
CCNA_00331	-	molybdate-binding protein	9	9	0	0	0.000000	NE
